"TOA5","3702","CR6","3702","CR6.14.4.0","CPU:Gill_R3-50.CR6","258","gill_20hz"
"TIMESTAMP","RECORD","staA","staD","Ux_gill","Uy_gill","Uz_gill","temp_gill","AWS"
"TS","RN","none","none","m/s","m/s","m/s","Celsius",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-10-23 09:40:00.05",469149,3,0,0.55,-0.09,-0.11,29.69,0.557315
"2025-10-23 09:40:00.1",469150,4,0,0.59,-0.09,-0.08,29.69,0.596825
"2025-10-23 09:40:00.15",469151,5,0,0.62,-0.09,-0.07,29.69,0.6264982
"2025-10-23 09:40:00.2",469152,6,1,0.62,-0.08,-0.06,29.69,0.62514
"2025-10-23 09:40:00.25",469153,1,10,0.63,-0.05,-0.03,29.69,0.631981
"2025-10-23 09:40:00.3",469154,2,38,0.65,-0.01,-0.05,29.71,0.6500769
"2025-10-23 09:40:00.35",469155,3,0,0.6,-0.01,-0.12,29.71,0.6000834
"2025-10-23 09:40:00.4",469156,4,0,0.55,0,-0.17,29.71,0.55
"2025-10-23 09:40:00.45",469157,5,0,0.54,-0.01,-0.11,29.7,0.5400926
"2025-10-23 09:40:00.5",469158,6,1,0.55,0.03,-0.13,29.71,0.5508176
"2025-10-23 09:40:00.55",469159,1,10,0.64,0,-0.11,29.71,0.64
"2025-10-23 09:40:00.6",469160,2,38,0.7,-0.09,-0.11,29.71,0.705762
"2025-10-23 09:40:00.65",469161,3,0,0.69,-0.08,-0.06,29.71,0.6946222
"2025-10-23 09:40:00.7",469162,4,0,0.66,-0.03,-0.04,29.71,0.6606815
"2025-10-23 09:40:00.75",469163,5,0,0.68,0.01,-0.03,29.71,0.6800735
"2025-10-23 09:40:00.8",469164,6,1,0.69,-0.05,-0.01,29.71,0.6918092
"2025-10-23 09:40:00.85",469165,1,10,0.68,-0.06,-0.02,29.72,0.6826419
"2025-10-23 09:40:00.9",469166,2,38,0.66,-0.02,-0.03,29.71,0.660303
"2025-10-23 09:40:00.95",469167,3,0,0.62,0.01,-0.02,29.71,0.6200806
"2025-10-23 09:40:01",469168,4,0,0.61,0.05,-0.03,29.71,0.6120458
"2025-10-23 09:40:01.05",469169,5,0,0.64,0.08,-0.03,29.72,0.6449806
"2025-10-23 09:40:01.1",469170,6,1,0.65,0.07,-0.01,29.72,0.6537584
"2025-10-23 09:40:01.15",469171,1,10,0.68,0.1,0.02,29.72,0.6873136
"2025-10-23 09:40:01.2",469172,2,38,0.67,0.12,-0.03,29.73,0.6806614
"2025-10-23 09:40:01.25",469173,3,0,0.68,0.13,-0.07,29.73,0.692315
"2025-10-23 09:40:01.3",469174,4,0,0.69,0.17,-0.08,29.73,0.7106335
"2025-10-23 09:40:01.35",469175,5,0,0.66,0.18,-0.11,29.74,0.6841053
"2025-10-23 09:40:01.4",469176,6,1,0.64,0.16,-0.08,29.74,0.6596969
"2025-10-23 09:40:01.45",469177,1,10,0.65,0.17,0.01,29.75,0.671863
"2025-10-23 09:40:01.5",469178,2,38,0.7,0.14,0.03,29.74,0.7138627
"2025-10-23 09:40:01.55",469179,3,0,0.76,0.08,0.01,29.74,0.7641989
"2025-10-23 09:40:01.6",469180,4,0,0.72,0.11,0.01,29.74,0.7283543
"2025-10-23 09:40:01.65",469181,5,0,0.69,0.08,0.03,29.74,0.6946222
"2025-10-23 09:40:01.7",469182,6,1,0.66,0.01,0.06,29.74,0.6600758
"2025-10-23 09:40:01.75",469183,1,10,0.69,0.01,0.06,29.74,0.6900725
"2025-10-23 09:40:01.8",469184,2,38,0.71,0.02,0.07,29.74,0.7102816
"2025-10-23 09:40:01.85",469185,3,0,0.71,0,0.07,29.74,0.71
"2025-10-23 09:40:01.9",469186,4,0,0.71,0.02,0.06,29.75,0.7102816
"2025-10-23 09:40:01.95",469187,5,0,0.65,-0.06,0.01,29.75,0.6527633
"2025-10-23 09:40:02",469188,6,1,0.64,-0.07,0,29.75,0.6438168
"2025-10-23 09:40:02.05",469189,1,10,0.66,-0.05,-0.02,29.75,0.6618913
"2025-10-23 09:40:02.1",469190,2,38,0.66,-0.07,-0.07,29.75,0.6637018
"2025-10-23 09:40:02.15",469191,3,0,0.68,-0.09,-0.12,29.74,0.68593
"2025-10-23 09:40:02.2",469192,4,0,0.65,-0.08,-0.09,29.73,0.6549046
"2025-10-23 09:40:02.25",469193,5,0,0.66,-0.1,-0.07,29.71,0.6675328
"2025-10-23 09:40:02.3",469194,6,1,0.72,-0.11,-0.01,29.71,0.7283543
"2025-10-23 09:40:02.35",469195,1,10,0.7,-0.06,-0.01,29.71,0.7025667
"2025-10-23 09:40:02.4",469196,2,38,0.7,0.03,-0.04,29.72,0.7006426
"2025-10-23 09:40:02.45",469197,3,0,0.73,0.08,-0.02,29.72,0.7343705
"2025-10-23 09:40:02.5",469198,4,0,0.75,0.09,0.01,29.73,0.7553807
"2025-10-23 09:40:02.55",469199,5,0,0.75,0.07,0,29.73,0.7532595
"2025-10-23 09:40:02.6",469200,6,1,0.72,0.05,-0.05,29.73,0.7217341
"2025-10-23 09:40:02.65",469201,1,10,0.7,0.04,-0.09,29.74,0.7011419
"2025-10-23 09:40:02.7",469202,2,38,0.65,-0.01,-0.1,29.74,0.6500769
"2025-10-23 09:40:02.75",469203,3,0,0.62,-0.03,-0.1,29.74,0.6207254
"2025-10-23 09:40:02.8",469204,4,0,0.66,-0.03,-0.05,29.75,0.6606815
"2025-10-23 09:40:02.85",469205,5,0,0.7,-0.03,-0.02,29.75,0.7006426
"2025-10-23 09:40:02.9",469206,6,1,0.73,0.01,-0.03,29.74,0.7300685
"2025-10-23 09:40:02.95",469207,1,10,0.72,0.03,-0.01,29.73,0.7206247
"2025-10-23 09:40:03",469208,2,38,0.72,0.03,0.01,29.73,0.7206247
"2025-10-23 09:40:03.05",469209,3,0,0.72,0,-0.03,29.74,0.72
"2025-10-23 09:40:03.1",469210,4,0,0.68,-0.01,-0.05,29.74,0.6800735
"2025-10-23 09:40:03.15",469211,5,0,0.67,-0.04,0.01,29.73,0.671193
"2025-10-23 09:40:03.2",469212,6,1,0.68,-0.07,0.02,29.73,0.6835934
"2025-10-23 09:40:03.25",469213,1,10,0.71,-0.07,0.04,29.72,0.7134423
"2025-10-23 09:40:03.3",469214,2,38,0.77,-0.06,0.02,29.73,0.7723341
"2025-10-23 09:40:03.35",469215,3,0,0.83,-0.08,-0.01,29.73,0.8338465
"2025-10-23 09:40:03.4",469216,4,0,0.83,-0.02,0.05,29.73,0.8302409
"2025-10-23 09:40:03.45",469217,5,0,0.88,-0.01,0.02,29.73,0.8800568
"2025-10-23 09:40:03.5",469218,6,1,0.86,-0.02,-0.03,29.72,0.8602326
"2025-10-23 09:40:03.55",469219,1,10,0.83,-0.03,-0.01,29.71,0.830542
"2025-10-23 09:40:03.6",469220,2,38,0.83,-0.01,0.01,29.72,0.8300602
"2025-10-23 09:40:03.65",469221,3,0,0.81,0.01,0.01,29.73,0.8100617
"2025-10-23 09:40:03.7",469222,4,0,0.84,0.1,-0.01,29.73,0.8459314
"2025-10-23 09:40:03.75",469223,5,0,0.86,0.09,0.01,29.74,0.8646965
"2025-10-23 09:40:03.8",469224,6,1,0.87,0.1,0.01,29.75,0.8757282
"2025-10-23 09:40:03.85",469225,1,10,0.87,0.1,0.01,29.74,0.8757282
"2025-10-23 09:40:03.9",469226,2,38,0.85,0.11,-0.04,29.74,0.8570881
"2025-10-23 09:40:03.95",469227,3,0,0.8,0.03,-0.02,29.74,0.8005623
"2025-10-23 09:40:04",469228,4,0,0.8,0.03,-0.04,29.73,0.8005623
"2025-10-23 09:40:04.05",469229,5,0,0.73,0.01,-0.04,29.73,0.7300685
"2025-10-23 09:40:04.1",469230,6,1,0.78,0,-0.02,29.73,0.78
"2025-10-23 09:40:04.15",469231,1,10,0.74,-0.03,-0.02,29.72,0.7406078
"2025-10-23 09:40:04.2",469232,2,38,0.73,-0.01,-0.03,29.73,0.7300685
"2025-10-23 09:40:04.25",469233,3,0,0.7,-0.02,-0.01,29.73,0.7002857
"2025-10-23 09:40:04.3",469234,4,0,0.71,0,-0.01,29.73,0.71
"2025-10-23 09:40:04.35",469235,5,0,0.73,0.06,0.03,29.74,0.7324616
"2025-10-23 09:40:04.4",469236,6,1,0.8,0.09,0.05,29.75,0.8050466
"2025-10-23 09:40:04.45",469237,1,10,0.83,0.09,0.06,29.76,0.8348652
"2025-10-23 09:40:04.5",469238,2,38,0.81,0.07,0.05,29.76,0.813019
"2025-10-23 09:40:04.55",469239,3,0,0.79,0.04,0.06,29.76,0.7910121
"2025-10-23 09:40:04.6",469240,4,0,0.8,0.01,0.03,29.76,0.8000626
"2025-10-23 09:40:04.65",469241,5,0,0.73,-0.02,-0.01,29.76,0.730274
"2025-10-23 09:40:04.7",469242,6,1,0.74,-0.01,-0.04,29.76,0.7400676
"2025-10-23 09:40:04.75",469243,1,10,0.74,0,-0.02,29.75,0.74
"2025-10-23 09:40:04.8",469244,2,38,0.79,-0.01,0.02,29.75,0.7900634
"2025-10-23 09:40:04.85",469245,3,0,0.75,-0.02,0.03,29.75,0.7502666
"2025-10-23 09:40:04.9",469246,4,0,0.77,-0.01,0.02,29.75,0.770065
"2025-10-23 09:40:04.95",469247,5,0,0.77,-0.01,0.01,29.75,0.770065
"2025-10-23 09:40:05",469248,6,1,0.79,-0.05,-0.02,29.74,0.7915807
"2025-10-23 09:40:05.05",469249,1,10,0.8,-0.06,-0.01,29.73,0.8022469
"2025-10-23 09:40:05.1",469250,2,38,0.76,-0.04,0,29.73,0.7610519
"2025-10-23 09:40:05.15",469251,3,0,0.76,-0.04,0,29.72,0.7610519
"2025-10-23 09:40:05.2",469252,4,0,0.74,-0.03,0.02,29.73,0.7406078
"2025-10-23 09:40:05.25",469253,5,0,0.78,0.04,0.01,29.74,0.781025
"2025-10-23 09:40:05.3",469254,6,1,0.75,-0.03,0.04,29.73,0.7505998
"2025-10-23 09:40:05.35",469255,1,10,0.74,-0.01,0.06,29.73,0.7400676
"2025-10-23 09:40:05.4",469256,2,38,0.75,0.06,0.06,29.73,0.7523962
"2025-10-23 09:40:05.45",469257,3,0,0.83,0.12,0.03,29.75,0.8386298
"2025-10-23 09:40:05.5",469258,4,0,0.83,0.09,-0.01,29.75,0.8348652
"2025-10-23 09:40:05.55",469259,5,0,0.84,0.1,0,29.75,0.8459314
"2025-10-23 09:40:05.6",469260,6,1,0.86,0.09,0.02,29.75,0.8646965
"2025-10-23 09:40:05.65",469261,1,10,0.84,0.07,0.05,29.75,0.8429116
"2025-10-23 09:40:05.7",469262,2,38,0.86,0.09,0.03,29.75,0.8646965
"2025-10-23 09:40:05.75",469263,3,0,0.87,0.17,-0.03,29.76,0.8864536
"2025-10-23 09:40:05.8",469264,4,0,0.85,0.17,-0.06,29.76,0.8668334
"2025-10-23 09:40:05.85",469265,5,0,0.84,0.13,-0.08,29.76,0.85
"2025-10-23 09:40:05.9",469266,6,1,0.8,0.06,-0.05,29.76,0.8022469
"2025-10-23 09:40:05.95",469267,1,10,0.78,0.06,-0.08,29.76,0.7823042
"2025-10-23 09:40:06",469268,2,38,0.74,0.06,-0.08,29.75,0.7424285
"2025-10-23 09:40:06.05",469269,3,0,0.72,-0.01,-0.04,29.75,0.7200694
"2025-10-23 09:40:06.1",469270,4,0,0.69,-0.01,-0.02,29.75,0.6900725
"2025-10-23 09:40:06.15",469271,5,0,0.68,-0.02,-0.01,29.75,0.6802941
"2025-10-23 09:40:06.2",469272,6,1,0.66,-0.03,-0.04,29.75,0.6606815
"2025-10-23 09:40:06.25",469273,1,10,0.66,-0.03,-0.05,29.75,0.6606815
"2025-10-23 09:40:06.3",469274,2,38,0.62,-0.07,-0.04,29.75,0.6239391
"2025-10-23 09:40:06.35",469275,3,0,0.63,-0.05,-0.07,29.75,0.631981
"2025-10-23 09:40:06.4",469276,4,0,0.59,-0.03,-0.08,29.75,0.5907622
"2025-10-23 09:40:06.45",469277,5,0,0.62,-0.01,-0.12,29.75,0.6200806
"2025-10-23 09:40:06.5",469278,6,1,0.69,0.01,-0.11,29.75,0.6900725
"2025-10-23 09:40:06.55",469279,1,10,0.75,0.05,-0.1,29.75,0.7516648
"2025-10-23 09:40:06.6",469280,2,38,0.71,0,-0.14,29.75,0.71
"2025-10-23 09:40:06.65",469281,3,0,0.71,0.02,-0.15,29.75,0.7102816
"2025-10-23 09:40:06.7",469282,4,0,0.72,0.03,-0.14,29.75,0.7206247
"2025-10-23 09:40:06.75",469283,5,0,0.73,-0.01,-0.12,29.76,0.7300685
"2025-10-23 09:40:06.8",469284,6,1,0.72,0,-0.16,29.76,0.72
"2025-10-23 09:40:06.85",469285,1,10,0.72,-0.01,-0.19,29.76,0.7200694
"2025-10-23 09:40:06.9",469286,2,38,0.69,0.01,-0.18,29.76,0.6900725
"2025-10-23 09:40:06.95",469287,3,0,0.67,0,-0.18,29.77,0.67
"2025-10-23 09:40:07",469288,4,0,0.65,-0.01,-0.19,29.76,0.6500769
"2025-10-23 09:40:07.05",469289,5,0,0.66,-0.02,-0.18,29.76,0.660303
"2025-10-23 09:40:07.1",469290,6,1,0.62,-0.01,-0.17,29.76,0.6200806
"2025-10-23 09:40:07.15",469291,1,10,0.61,0.05,-0.18,29.76,0.6120458
"2025-10-23 09:40:07.2",469292,2,38,0.63,0.03,-0.15,29.77,0.6307139
"2025-10-23 09:40:07.25",469293,3,0,0.61,-0.01,-0.16,29.76,0.610082
"2025-10-23 09:40:07.3",469294,4,0,0.62,-0.05,-0.17,29.74,0.6220128
"2025-10-23 09:40:07.35",469295,5,0,0.62,-0.08,-0.18,29.72,0.62514
"2025-10-23 09:40:07.4",469296,6,1,0.63,-0.09,-0.19,29.71,0.6363961
"2025-10-23 09:40:07.45",469297,1,10,0.66,-0.07,-0.19,29.72,0.6637018
"2025-10-23 09:40:07.5",469298,2,38,0.66,-0.05,-0.2,29.72,0.6618913
"2025-10-23 09:40:07.55",469299,4,0,0.61,-0.08,-0.14,29.73,0.6152235
