"TOA5","3702","CR6","3702","CR6.14.4.0","CPU:Gill_R3-50.CR6","258","gill_20hz"
"TIMESTAMP","RECORD","staA","staD","Ux_gill","Uy_gill","Uz_gill","temp_gill","AWS"
"TS","RN","none","none","m/s","m/s","m/s","Celsius",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-10-23 10:40:00.05",541149,5,0,0.28,0,0,32.12,0.28
"2025-10-23 10:40:00.1",541150,6,1,0.27,0,-0.01,32.12,0.27
"2025-10-23 10:40:00.15",541151,1,10,0.26,0,-0.03,32.12,0.26
"2025-10-23 10:40:00.2",541152,2,38,0.25,0,-0.03,32.12,0.25
"2025-10-23 10:40:00.25",541153,3,0,0.23,-0.01,-0.04,32.11,0.2302173
"2025-10-23 10:40:00.3",541154,4,0,0.22,-0.03,-0.05,32.11,0.222036
"2025-10-23 10:40:00.35",541155,5,0,0.23,-0.01,-0.06,32.12,0.2302173
"2025-10-23 10:40:00.4",541156,6,1,0.22,-0.01,-0.07,32.12,0.2202272
"2025-10-23 10:40:00.45",541157,1,10,0.22,-0.01,-0.08,32.11,0.2202272
"2025-10-23 10:40:00.5",541158,2,38,0.21,0.01,-0.09,32.1,0.210238
"2025-10-23 10:40:00.55",541159,3,0,0.22,0.01,-0.08,32.1,0.2202272
"2025-10-23 10:40:00.6",541160,4,0,0.22,0.02,-0.07,32.1,0.2209072
"2025-10-23 10:40:00.65",541161,5,0,0.24,0.03,-0.07,32.09,0.2418677
"2025-10-23 10:40:00.7",541162,6,1,0.24,0.05,-0.05,32.09,0.245153
"2025-10-23 10:40:00.75",541163,1,10,0.24,0.06,-0.04,32.1,0.2473863
"2025-10-23 10:40:00.8",541164,2,38,0.23,0.04,-0.04,32.1,0.2334523
"2025-10-23 10:40:00.85",541165,3,0,0.23,0.05,-0.05,32.1,0.2353721
"2025-10-23 10:40:00.9",541166,4,0,0.24,0.03,-0.05,32.1,0.2418677
"2025-10-23 10:40:00.95",541167,5,0,0.22,0.02,-0.04,32.1,0.2209072
"2025-10-23 10:40:01",541168,6,1,0.22,0.02,-0.04,32.1,0.2209072
"2025-10-23 10:40:01.05",541169,1,10,0.24,0.06,-0.04,32.09,0.2473863
"2025-10-23 10:40:01.1",541170,2,38,0.25,0.06,-0.05,32.09,0.2570992
"2025-10-23 10:40:01.15",541171,3,0,0.27,0.07,-0.05,32.09,0.2789265
"2025-10-23 10:40:01.2",541172,4,0,0.27,0.07,-0.05,32.1,0.2789265
"2025-10-23 10:40:01.25",541173,5,0,0.26,0.07,-0.06,32.1,0.2692582
"2025-10-23 10:40:01.3",541174,6,1,0.25,0.06,-0.07,32.1,0.2570992
"2025-10-23 10:40:01.35",541175,1,10,0.23,0.05,-0.07,32.1,0.2353721
"2025-10-23 10:40:01.4",541176,2,38,0.23,0.05,-0.07,32.1,0.2353721
"2025-10-23 10:40:01.45",541177,3,0,0.23,0.04,-0.06,32.11,0.2334523
"2025-10-23 10:40:01.5",541178,4,0,0.22,0.02,-0.05,32.11,0.2209072
"2025-10-23 10:40:01.55",541179,5,0,0.24,0.03,-0.05,32.11,0.2418677
"2025-10-23 10:40:01.6",541180,6,1,0.24,0.03,-0.05,32.1,0.2418677
"2025-10-23 10:40:01.65",541181,1,10,0.22,0.02,-0.04,32.1,0.2209072
"2025-10-23 10:40:01.7",541182,2,38,0.22,0.02,-0.04,32.09,0.2209072
"2025-10-23 10:40:01.75",541183,3,0,0.2,0.03,-0.04,32.09,0.2022375
"2025-10-23 10:40:01.8",541184,4,0,0.2,0.02,-0.05,32.09,0.2009975
"2025-10-23 10:40:01.85",541185,5,0,0.2,0,-0.05,32.08,0.2
"2025-10-23 10:40:01.9",541186,6,1,0.21,-0.01,-0.05,32.08,0.210238
"2025-10-23 10:40:01.95",541187,1,10,0.22,-0.01,-0.07,32.07,0.2202272
"2025-10-23 10:40:02",541188,2,38,0.21,0,-0.08,32.07,0.21
"2025-10-23 10:40:02.05",541189,3,0,0.21,0,-0.08,32.06,0.21
"2025-10-23 10:40:02.1",541190,4,0,0.2,-0.02,-0.06,32.07,0.2009975
"2025-10-23 10:40:02.15",541191,5,0,0.2,-0.02,-0.04,32.07,0.2009975
"2025-10-23 10:40:02.2",541192,6,1,0.21,-0.01,-0.03,32.07,0.210238
"2025-10-23 10:40:02.25",541193,1,10,0.21,-0.01,-0.03,32.07,0.210238
"2025-10-23 10:40:02.3",541194,2,38,0.21,0.01,-0.04,32.07,0.210238
"2025-10-23 10:40:02.35",541195,3,0,0.23,0.04,-0.06,32.07,0.2334523
"2025-10-23 10:40:02.4",541196,4,0,0.24,0.03,-0.08,32.07,0.2418677
"2025-10-23 10:40:02.45",541197,5,0,0.24,0.05,-0.09,32.07,0.245153
"2025-10-23 10:40:02.5",541198,6,1,0.24,0.06,-0.08,32.07,0.2473863
"2025-10-23 10:40:02.55",541199,1,10,0.25,0.05,-0.07,32.07,0.254951
"2025-10-23 10:40:02.6",541200,2,38,0.23,0.04,-0.06,32.07,0.2334523
"2025-10-23 10:40:02.65",541201,3,0,0.23,0.04,-0.06,32.07,0.2334523
"2025-10-23 10:40:02.7",541202,4,0,0.22,0.02,-0.07,32.06,0.2209072
"2025-10-23 10:40:02.75",541203,5,0,0.22,0.02,-0.07,32.06,0.2209072
"2025-10-23 10:40:02.8",541204,6,1,0.22,0.02,-0.07,32.06,0.2209072
"2025-10-23 10:40:02.85",541205,1,10,0.24,0.02,-0.06,32.06,0.2408319
"2025-10-23 10:40:02.9",541206,2,38,0.25,0.01,-0.05,32.05,0.2501999
"2025-10-23 10:40:02.95",541207,3,0,0.25,0.01,-0.05,32.05,0.2501999
"2025-10-23 10:40:03",541208,4,0,0.26,0.03,-0.05,32.05,0.261725
"2025-10-23 10:40:03.05",541209,5,0,0.25,0.04,-0.06,32.05,0.2531798
"2025-10-23 10:40:03.1",541210,6,1,0.25,0.04,-0.06,32.05,0.2531798
"2025-10-23 10:40:03.15",541211,1,10,0.25,0.04,-0.06,32.05,0.2531798
"2025-10-23 10:40:03.2",541212,2,38,0.24,0.02,-0.06,32.05,0.2408319
"2025-10-23 10:40:03.25",541213,3,0,0.24,0.02,-0.06,32.05,0.2408319
"2025-10-23 10:40:03.3",541214,4,0,0.24,0.02,-0.06,32.05,0.2408319
"2025-10-23 10:40:03.35",541215,5,0,0.25,0.03,-0.05,32.05,0.2517936
"2025-10-23 10:40:03.4",541216,6,1,0.24,0.03,-0.05,32.05,0.2418677
"2025-10-23 10:40:03.45",541217,1,10,0.24,0.02,-0.04,32.05,0.2408319
"2025-10-23 10:40:03.5",541218,2,38,0.25,0.03,-0.04,32.05,0.2517936
"2025-10-23 10:40:03.55",541219,3,0,0.24,0.02,-0.04,32.05,0.2408319
"2025-10-23 10:40:03.6",541220,4,0,0.23,0.04,-0.04,32.05,0.2334523
"2025-10-23 10:40:03.65",541221,5,0,0.23,0.04,-0.04,32.05,0.2334523
"2025-10-23 10:40:03.7",541222,6,1,0.23,0.04,-0.04,32.05,0.2334523
"2025-10-23 10:40:03.75",541223,1,10,0.24,0.05,-0.05,32.05,0.245153
"2025-10-23 10:40:03.8",541224,2,38,0.25,0.05,-0.05,32.05,0.254951
"2025-10-23 10:40:03.85",541225,3,0,0.25,0.04,-0.04,32.04,0.2531798
"2025-10-23 10:40:03.9",541226,4,0,0.26,0.04,-0.04,32.04,0.2630589
"2025-10-23 10:40:03.95",541227,5,0,0.26,0.04,-0.04,32.04,0.2630589
"2025-10-23 10:40:04",541228,6,1,0.27,0.05,-0.03,32.04,0.2745906
"2025-10-23 10:40:04.05",541229,1,10,0.27,0.05,-0.03,32.05,0.2745906
"2025-10-23 10:40:04.1",541230,2,38,0.26,0.03,-0.03,32.05,0.261725
"2025-10-23 10:40:04.15",541231,3,0,0.25,0.03,-0.04,32.05,0.2517936
"2025-10-23 10:40:04.2",541232,4,0,0.25,0.04,-0.04,32.05,0.2531798
"2025-10-23 10:40:04.25",541233,5,0,0.24,0.03,-0.05,32.05,0.2418677
"2025-10-23 10:40:04.3",541234,6,1,0.24,0.03,-0.07,32.05,0.2418677
"2025-10-23 10:40:04.35",541235,1,10,0.22,0.02,-0.07,32.05,0.2209072
"2025-10-23 10:40:04.4",541236,2,38,0.22,0.04,-0.07,32.05,0.2236068
"2025-10-23 10:40:04.45",541237,3,0,0.22,0.05,-0.07,32.05,0.2256103
"2025-10-23 10:40:04.5",541238,4,0,0.21,0.03,-0.07,32.05,0.212132
"2025-10-23 10:40:04.55",541239,5,0,0.21,0.03,-0.07,32.05,0.212132
"2025-10-23 10:40:04.6",541240,6,1,0.2,0.03,-0.06,32.05,0.2022375
"2025-10-23 10:40:04.65",541241,1,10,0.21,0.01,-0.07,32.05,0.210238
"2025-10-23 10:40:04.7",541242,2,38,0.21,0.01,-0.07,32.04,0.210238
"2025-10-23 10:40:04.75",541243,3,0,0.25,0,-0.07,32.05,0.25
"2025-10-23 10:40:04.8",541244,4,0,0.25,-0.01,-0.05,32.04,0.2501999
"2025-10-23 10:40:04.85",541245,5,0,0.25,-0.01,-0.05,32.05,0.2501999
"2025-10-23 10:40:04.9",541246,6,1,0.25,0,-0.05,32.04,0.25
"2025-10-23 10:40:04.95",541247,1,10,0.25,-0.03,-0.04,32.05,0.2517936
"2025-10-23 10:40:05",541248,2,38,0.25,-0.04,-0.04,32.06,0.2531798
"2025-10-23 10:40:05.05",541249,3,0,0.26,-0.03,-0.04,32.07,0.261725
"2025-10-23 10:40:05.1",541250,4,0,0.27,-0.02,-0.04,32.07,0.2707397
"2025-10-23 10:40:05.15",541251,5,0,0.26,0,-0.06,32.07,0.26
"2025-10-23 10:40:05.2",541252,6,1,0.25,0.01,-0.06,32.06,0.2501999
"2025-10-23 10:40:05.25",541253,1,10,0.25,0.01,-0.06,32.07,0.2501999
"2025-10-23 10:40:05.3",541254,2,38,0.25,0.01,-0.06,32.07,0.2501999
"2025-10-23 10:40:05.35",541255,3,0,0.26,0.02,-0.06,32.06,0.2607681
"2025-10-23 10:40:05.4",541256,4,0,0.25,0.03,-0.05,32.08,0.2517936
"2025-10-23 10:40:05.45",541257,5,0,0.26,0.03,-0.05,32.08,0.261725
"2025-10-23 10:40:05.5",541258,6,1,0.26,0.04,-0.04,32.11,0.2630589
"2025-10-23 10:40:05.55",541259,1,10,0.26,0.04,-0.04,32.12,0.2630589
"2025-10-23 10:40:05.6",541260,2,38,0.27,0.05,-0.03,32.13,0.2745906
"2025-10-23 10:40:05.65",541261,3,0,0.28,0.05,-0.03,32.14,0.2844293
"2025-10-23 10:40:05.7",541262,4,0,0.29,0.04,-0.02,32.16,0.2927456
"2025-10-23 10:40:05.75",541263,5,0,0.29,0.03,-0.03,32.16,0.2915476
"2025-10-23 10:40:05.8",541264,6,1,0.29,0.01,-0.03,32.17,0.2901724
"2025-10-23 10:40:05.85",541265,1,10,0.3,-0.03,-0.02,32.16,0.3014963
"2025-10-23 10:40:05.9",541266,2,38,0.3,-0.01,-0.03,32.16,0.3001666
"2025-10-23 10:40:05.95",541267,3,0,0.29,0.01,-0.03,32.17,0.2901724
"2025-10-23 10:40:06",541268,4,0,0.28,0.03,-0.03,32.17,0.2816026
"2025-10-23 10:40:06.05",541269,5,0,0.3,0.01,-0.03,32.17,0.3001666
"2025-10-23 10:40:06.1",541270,6,1,0.29,0.03,-0.03,32.17,0.2915476
"2025-10-23 10:40:06.15",541271,1,10,0.3,0.01,-0.02,32.17,0.3001666
"2025-10-23 10:40:06.2",541272,2,38,0.3,0.01,0,32.18,0.3001666
"2025-10-23 10:40:06.25",541273,3,0,0.32,0.03,0,32.19,0.3214032
"2025-10-23 10:40:06.3",541274,4,0,0.34,0.04,-0.01,32.19,0.3423448
"2025-10-23 10:40:06.35",541275,5,0,0.35,0.03,0,32.18,0.3512834
"2025-10-23 10:40:06.4",541276,6,1,0.33,0.03,-0.01,32.17,0.3313608
"2025-10-23 10:40:06.45",541277,1,10,0.33,-0.01,-0.02,32.16,0.3301515
"2025-10-23 10:40:06.5",541278,2,38,0.33,-0.01,-0.02,32.16,0.3301515
"2025-10-23 10:40:06.55",541279,3,0,0.33,0.01,-0.03,32.16,0.3301515
"2025-10-23 10:40:06.6",541280,4,0,0.33,0.02,-0.04,32.16,0.3306055
"2025-10-23 10:40:06.65",541281,5,0,0.32,0.01,-0.05,32.16,0.3201562
"2025-10-23 10:40:06.7",541282,6,1,0.31,0,-0.04,32.16,0.31
"2025-10-23 10:40:06.75",541283,1,10,0.31,0.01,-0.04,32.17,0.3101613
"2025-10-23 10:40:06.8",541284,2,38,0.3,0.01,-0.03,32.17,0.3001666
"2025-10-23 10:40:06.85",541285,3,0,0.31,0,-0.03,32.17,0.31
"2025-10-23 10:40:06.9",541286,4,0,0.31,-0.01,-0.03,32.17,0.3101613
"2025-10-23 10:40:06.95",541287,5,0,0.32,-0.01,-0.04,32.17,0.3201562
"2025-10-23 10:40:07",541288,6,1,0.33,-0.02,-0.04,32.18,0.3306055
"2025-10-23 10:40:07.05",541289,1,10,0.34,-0.02,-0.03,32.18,0.3405877
"2025-10-23 10:40:07.1",541290,2,38,0.33,-0.01,-0.02,32.18,0.3301515
"2025-10-23 10:40:07.15",541291,3,0,0.32,-0.02,-0.02,32.18,0.3206244
"2025-10-23 10:40:07.2",541292,4,0,0.32,-0.02,-0.02,32.18,0.3206244
"2025-10-23 10:40:07.25",541293,5,0,0.32,-0.02,-0.02,32.18,0.3206244
"2025-10-23 10:40:07.3",541294,6,1,0.32,-0.02,-0.02,32.18,0.3206244
"2025-10-23 10:40:07.35",541295,1,10,0.31,0,-0.01,32.18,0.31
"2025-10-23 10:40:07.4",541296,2,38,0.31,0.01,-0.01,32.17,0.3101613
"2025-10-23 10:40:07.45",541297,3,0,0.32,-0.01,0.01,32.17,0.3201562
"2025-10-23 10:40:07.5",541298,4,0,0.34,0,0.01,32.17,0.34
"2025-10-23 10:40:07.55",541299,5,0,0.33,-0.01,-0.01,32.16,0.3301515
