"TOA5","3702","CR6","3702","CR6.14.4.0","CPU:Gill_R3-50.CR6","258","gill_20hz"
"TIMESTAMP","RECORD","staA","staD","Ux_gill","Uy_gill","Uz_gill","temp_gill","AWS"
"TS","RN","none","none","m/s","m/s","m/s","Celsius",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-10-22 17:40:00.05",437828,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:00.1",437829,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:00.15",437830,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:00.2",437831,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:00.25",437832,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:00.3",437833,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:00.35",437834,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:00.4",437835,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:00.45",437836,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:00.5",437837,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:00.55",437838,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:00.6",437839,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:00.65",437840,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:00.7",437841,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:00.75",437842,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:00.8",437843,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:00.85",437844,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:00.9",437845,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:00.95",437846,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:01",437847,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:01.05",437848,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:01.1",437849,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:01.15",437850,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:01.2",437851,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:01.25",437852,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:01.3",437853,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:01.35",437854,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:01.4",437855,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:01.45",437856,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:01.5",437857,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:01.55",437858,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:01.6",437859,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:01.65",437860,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:01.7",437861,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:01.75",437862,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:01.8",437863,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:01.85",437864,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:01.9",437865,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:01.95",437866,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:02",437867,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:02.05",437868,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:02.1",437869,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:02.15",437870,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:02.2",437871,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:02.25",437872,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:02.3",437873,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:02.35",437874,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:02.4",437875,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:02.45",437876,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:02.5",437877,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:02.55",437878,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:02.6",437879,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:02.65",437880,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:02.7",437881,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:02.75",437882,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:02.8",437883,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:02.85",437884,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:02.9",437885,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:02.95",437886,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:03",437887,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:03.05",437888,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:03.1",437889,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:03.15",437890,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:03.2",437891,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:03.25",437892,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:03.3",437893,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:03.35",437894,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:03.4",437895,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:03.45",437896,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:03.5",437897,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:03.55",437898,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:03.6",437899,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:03.65",437900,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:03.7",437901,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:03.75",437902,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:03.8",437903,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:03.85",437904,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:03.9",437905,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:03.95",437906,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:04",437907,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:04.05",437908,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:04.1",437909,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:04.15",437910,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:04.2",437911,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:04.25",437912,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:04.3",437913,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:04.35",437914,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:04.4",437915,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:04.45",437916,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:04.5",437917,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:04.55",437918,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:04.6",437919,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:04.65",437920,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:04.7",437921,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:04.75",437922,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:04.8",437923,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:04.85",437924,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:04.9",437925,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:04.95",437926,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:05",437927,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:05.05",437928,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:05.1",437929,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:05.15",437930,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:05.2",437931,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:05.25",437932,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:05.3",437933,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:05.35",437934,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:05.4",437935,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:05.45",437936,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:05.5",437937,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:05.55",437938,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:05.6",437939,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:05.65",437940,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:05.7",437941,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:05.75",437942,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:05.8",437943,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:05.85",437944,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:05.9",437945,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:05.95",437946,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:06",437947,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:06.05",437948,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:06.1",437949,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:06.15",437950,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:06.2",437951,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:06.25",437952,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:06.3",437953,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:06.35",437954,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:06.4",437955,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:06.45",437956,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:06.5",437957,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:06.55",437958,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:06.6",437959,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:06.65",437960,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:06.7",437961,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:06.75",437962,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:06.8",437963,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:06.85",437964,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:06.9",437965,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:06.95",437966,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:07",437967,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-10-22 17:40:07.05",437968,"NAN","NAN","NAN","NAN","NAN","NAN","NAN"
