FanV,Direction,tStart,tEnd,tAvgStart,tAvgEnd,nSamples,mean_Probe1,std_Probe1,mean_Probe2,std_Probe2,mean_Probe3,std_Probe3,U_oldcal
0,zero,0,10,0,10,40000,1.1410529005806,0.000622435714551103,1.02665614976425,0.000561369113980074,1.09393715963354,0.000528050687976455,0.522461728879315
2,up,10,40,10,40,120000,1.62871870062508,0.186012778209517,1.44998527316221,0.164071181916489,1.55955837095527,0.178608189011895,1.18876755227411
2.1,up,40,70,40,70,120000,1.71545805670908,0.0132717748262553,1.5265226601911,0.0123823968401955,1.64304570053751,0.0156430039978157,1.35466207047091
2.2,up,70,100,70,100,120000,1.73274471874462,0.0135631778138047,1.54203793199118,0.0128049736302882,1.65841632472797,0.0161407021549554,1.45390913625828
2.5,up,100,130,100,130,120000,1.77763052817197,0.0178323545921572,1.58266704805559,0.0159642755012912,1.69985449015905,0.0193925972500879,1.73867891325235
3,up,130,160,130,160,120000,1.83772203249817,0.0184245704076956,1.63673450735748,0.0161133564428748,1.75569256205703,0.0197942446507112,2.18678805071152
0,zero,160,165,160,165,19776,1.80821648688194,0.0416477316098279,1.60907914899128,0.0380409450372953,1.72727594156406,0.0410418673629297,1.97330612387598
