FanV,Direction,tStart,tEnd,tAvgStart,tAvgEnd,nSamples,mean_Probe1,std_Probe1,mean_Probe2,std_Probe2,mean_Probe3,std_Probe3,U_oldcal
0,zero,0,10,0,10,40000,1.14053994985996,0.000602494701256531,1.02559829579096,0.000634847202446585,1.09568141199758,0.00110752600563527,0.522430400244816
2.1,up,10,40,10,40,120000,1.65621625800332,0.149159491049564,1.47304747946919,0.134250736765193,1.58551992124239,0.144937684257205,1.22559821228028
4,up,40,70,40,70,120000,1.91358993864016,0.0593967605845489,1.70348456260798,0.0529838169072282,1.8242436116524,0.0568524856946386,2.92267091493177
6,up,70,100,70,100,120000,2.08981397862304,0.0449465515393214,1.8610177600029,0.0394377123340216,1.99019219779628,0.043606808818728,5.15362035227537
8,up,100,130,100,130,120000,2.20745911464825,0.0304489143835033,1.96569577200948,0.0271724948779134,2.10017313466809,0.0304003040474549,7.19685932313582
9,up,130,160,130,160,120000,2.25806538304614,0.0206935959761629,2.01148167084603,0.0184434553656391,2.1464639559798,0.0229346544660036,8.22931213902398
0,zero,160,165,160,165,19751,2.16676667546543,0.0891254738779259,1.9298430432108,0.0800762776601154,2.0599647097184,0.0844736274538852,6.56071375435117
