"TOA5","3702","CR6","3702","CR6.14.4.0","CPU:Gill_R3-50.CR6","258","gill_20hz"
"TIMESTAMP","RECORD","staA","staD","Ux_gill","Uy_gill","Uz_gill","temp_gill","AWS"
"TS","RN","none","none","m/s","m/s","m/s","Celsius",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-09-23 16:20:00.05",83597,1,10,0.3,0.04,-0.05,34.55,0.3026549
"2025-09-23 16:20:00.1",83598,2,38,0.3,0.04,-0.05,34.55,0.3026549
"2025-09-23 16:20:00.15",83599,3,0,0.29,0.04,-0.05,34.55,0.2927456
"2025-09-23 16:20:00.2",83600,4,0,0.28,0.04,-0.05,34.54,0.2828427
"2025-09-23 16:20:00.25",83601,5,0,0.28,0.04,-0.05,34.54,0.2828427
"2025-09-23 16:20:00.3",83602,6,1,0.28,0.04,-0.05,34.54,0.2828427
"2025-09-23 16:20:00.35",83603,1,10,0.29,0.03,-0.05,34.54,0.2915476
"2025-09-23 16:20:00.4",83604,2,38,0.29,0.03,-0.05,34.54,0.2915476
"2025-09-23 16:20:00.45",83605,3,0,0.29,0.01,-0.06,34.54,0.2901724
"2025-09-23 16:20:00.5",83606,4,0,0.28,0,-0.07,34.54,0.28
"2025-09-23 16:20:00.55",83607,5,0,0.29,-0.02,-0.07,34.55,0.2906888
"2025-09-23 16:20:00.6",83608,6,1,0.28,-0.02,-0.07,34.55,0.2807134
"2025-09-23 16:20:00.65",83609,1,10,0.28,-0.02,-0.07,34.55,0.2807134
"2025-09-23 16:20:00.7",83610,2,38,0.28,-0.02,-0.05,34.55,0.2807134
"2025-09-23 16:20:00.75",83611,3,0,0.29,-0.02,-0.05,34.55,0.2906888
"2025-09-23 16:20:00.8",83612,4,0,0.28,0,-0.05,34.54,0.28
"2025-09-23 16:20:00.85",83613,5,0,0.28,0,-0.05,34.54,0.28
"2025-09-23 16:20:00.9",83614,6,1,0.27,0.02,-0.05,34.54,0.2707397
"2025-09-23 16:20:00.95",83615,1,10,0.3,0.01,-0.05,34.54,0.3001666
"2025-09-23 16:20:01",83616,2,38,0.29,0.04,-0.05,34.54,0.2927456
"2025-09-23 16:20:01.05",83617,3,0,0.29,0.03,-0.04,34.54,0.2915476
"2025-09-23 16:20:01.1",83618,4,0,0.29,0.03,-0.04,34.55,0.2915476
"2025-09-23 16:20:01.15",83619,5,0,0.29,0.03,-0.03,34.55,0.2915476
"2025-09-23 16:20:01.2",83620,6,1,0.3,0.04,-0.03,34.56,0.3026549
"2025-09-23 16:20:01.25",83621,1,10,0.3,0.04,-0.03,34.56,0.3026549
"2025-09-23 16:20:01.3",83622,2,38,0.29,0.04,-0.03,34.56,0.2927456
"2025-09-23 16:20:01.35",83623,3,0,0.29,0.04,-0.02,34.55,0.2927456
"2025-09-23 16:20:01.4",83624,4,0,0.3,0.01,-0.02,34.55,0.3001666
"2025-09-23 16:20:01.45",83625,5,0,0.31,0,-0.03,34.56,0.31
"2025-09-23 16:20:01.5",83626,6,1,0.31,-0.01,-0.04,34.56,0.3101613
"2025-09-23 16:20:01.55",83627,1,10,0.3,-0.03,-0.04,34.56,0.3014963
"2025-09-23 16:20:01.6",83628,2,38,0.32,-0.02,-0.04,34.56,0.3206244
"2025-09-23 16:20:01.65",83629,3,0,0.32,-0.02,-0.04,34.56,0.3206244
"2025-09-23 16:20:01.7",83630,4,0,0.32,-0.02,-0.04,34.56,0.3206244
"2025-09-23 16:20:01.75",83631,5,0,0.31,-0.02,-0.03,34.55,0.3106445
"2025-09-23 16:20:01.8",83632,6,1,0.31,-0.01,-0.04,34.55,0.3101613
"2025-09-23 16:20:01.85",83633,1,10,0.3,0,-0.03,34.56,0.3
"2025-09-23 16:20:01.9",83634,2,38,0.3,0,-0.03,34.56,0.3
"2025-09-23 16:20:01.95",83635,3,0,0.3,0.01,-0.04,34.56,0.3001666
"2025-09-23 16:20:02",83636,4,0,0.3,0.01,-0.04,34.56,0.3001666
"2025-09-23 16:20:02.05",83637,5,0,0.3,0.01,-0.04,34.56,0.3001666
"2025-09-23 16:20:02.1",83638,6,1,0.3,0,-0.03,34.56,0.3
"2025-09-23 16:20:02.15",83639,1,10,0.31,0,-0.03,34.57,0.31
"2025-09-23 16:20:02.2",83640,2,38,0.31,0,-0.03,34.57,0.31
"2025-09-23 16:20:02.25",83641,3,0,0.31,-0.01,-0.03,34.56,0.3101613
"2025-09-23 16:20:02.3",83642,4,0,0.31,-0.01,-0.02,34.56,0.3101613
"2025-09-23 16:20:02.35",83643,5,0,0.32,-0.02,-0.01,34.56,0.3206244
"2025-09-23 16:20:02.4",83644,6,1,0.32,-0.02,-0.01,34.56,0.3206244
"2025-09-23 16:20:02.45",83645,1,10,0.32,-0.03,-0.01,34.56,0.3214032
"2025-09-23 16:20:02.5",83646,2,38,0.32,-0.03,-0.01,34.56,0.3214032
"2025-09-23 16:20:02.55",83647,3,0,0.31,-0.03,-0.01,34.56,0.3114482
"2025-09-23 16:20:02.6",83648,4,0,0.32,-0.01,-0.01,34.56,0.3201562
"2025-09-23 16:20:02.65",83649,5,0,0.32,-0.01,-0.01,34.56,0.3201562
"2025-09-23 16:20:02.7",83650,6,1,0.32,0,-0.01,34.56,0.32
"2025-09-23 16:20:02.75",83651,1,10,0.32,0,-0.02,34.56,0.32
"2025-09-23 16:20:02.8",83652,2,38,0.32,0,-0.02,34.56,0.32
"2025-09-23 16:20:02.85",83653,3,0,0.31,0.01,-0.02,34.56,0.3101613
"2025-09-23 16:20:02.9",83654,4,0,0.31,-0.01,-0.02,34.55,0.3101613
"2025-09-23 16:20:02.95",83655,5,0,0.3,-0.01,-0.03,34.55,0.3001666
"2025-09-23 16:20:03",83656,6,1,0.3,-0.01,-0.03,34.55,0.3001666
"2025-09-23 16:20:03.05",83657,1,10,0.31,-0.01,-0.02,34.55,0.3101613
"2025-09-23 16:20:03.1",83658,2,38,0.33,0.02,-0.01,34.54,0.3306055
"2025-09-23 16:20:03.15",83659,3,0,0.34,0,-0.01,34.54,0.34
"2025-09-23 16:20:03.2",83660,4,0,0.34,0,-0.01,34.54,0.34
"2025-09-23 16:20:03.25",83661,5,0,0.33,-0.01,-0.01,34.54,0.3301515
"2025-09-23 16:20:03.3",83662,6,1,0.32,-0.01,-0.01,34.54,0.3201562
"2025-09-23 16:20:03.35",83663,1,10,0.32,-0.01,-0.01,34.54,0.3201562
"2025-09-23 16:20:03.4",83664,2,38,0.32,-0.01,-0.01,34.54,0.3201562
"2025-09-23 16:20:03.45",83665,3,0,0.33,-0.01,-0.02,34.54,0.3301515
"2025-09-23 16:20:03.5",83666,4,0,0.34,0.01,-0.02,34.54,0.340147
"2025-09-23 16:20:03.55",83667,5,0,0.34,0.01,-0.02,34.54,0.340147
"2025-09-23 16:20:03.6",83668,6,1,0.34,0,-0.01,34.54,0.34
"2025-09-23 16:20:03.65",83669,1,10,0.34,0,-0.01,34.54,0.34
"2025-09-23 16:20:03.7",83670,2,38,0.34,0.01,-0.02,34.54,0.340147
"2025-09-23 16:20:03.75",83671,3,0,0.34,0,-0.03,34.54,0.34
"2025-09-23 16:20:03.8",83672,4,0,0.33,-0.01,-0.02,34.55,0.3301515
"2025-09-23 16:20:03.85",83673,5,0,0.32,-0.01,-0.01,34.55,0.3201562
"2025-09-23 16:20:03.9",83674,6,1,0.32,-0.02,-0.02,34.54,0.3206244
"2025-09-23 16:20:03.95",83675,1,10,0.33,-0.01,-0.02,34.55,0.3301515
"2025-09-23 16:20:04",83676,2,38,0.32,0,-0.02,34.55,0.32
"2025-09-23 16:20:04.05",83677,3,0,0.32,0,-0.02,34.55,0.32
"2025-09-23 16:20:04.1",83678,4,0,0.32,0,-0.02,34.56,0.32
"2025-09-23 16:20:04.15",83679,5,0,0.32,-0.01,-0.02,34.56,0.3201562
"2025-09-23 16:20:04.2",83680,6,1,0.32,-0.01,-0.02,34.55,0.3201562
"2025-09-23 16:20:04.25",83681,1,10,0.33,-0.01,-0.03,34.55,0.3301515
"2025-09-23 16:20:04.3",83682,2,38,0.33,-0.01,-0.03,34.55,0.3301515
"2025-09-23 16:20:04.35",83683,3,0,0.32,-0.01,-0.02,34.56,0.3201562
"2025-09-23 16:20:04.4",83684,4,0,0.31,0,-0.01,34.56,0.31
"2025-09-23 16:20:04.45",83685,5,0,0.32,0,-0.01,34.56,0.32
"2025-09-23 16:20:04.5",83686,6,1,0.32,0,-0.01,34.56,0.32
"2025-09-23 16:20:04.55",83687,1,10,0.34,0,-0.01,34.56,0.34
"2025-09-23 16:20:04.6",83688,2,38,0.33,-0.01,0,34.56,0.3301515
"2025-09-23 16:20:04.65",83689,3,0,0.33,-0.01,0,34.55,0.3301515
"2025-09-23 16:20:04.7",83690,4,0,0.33,-0.01,-0.01,34.55,0.3301515
"2025-09-23 16:20:04.75",83691,5,0,0.33,-0.02,-0.01,34.54,0.3306055
"2025-09-23 16:20:04.8",83692,6,1,0.34,-0.04,0,34.54,0.3423448
"2025-09-23 16:20:04.85",83693,1,10,0.34,-0.04,0,34.54,0.3423448
"2025-09-23 16:20:04.9",83694,2,38,0.34,-0.05,0.01,34.54,0.3436568
"2025-09-23 16:20:04.95",83695,3,0,0.33,-0.02,0.01,34.54,0.3306055
"2025-09-23 16:20:05",83696,4,0,0.33,-0.01,0.01,34.54,0.3301515
"2025-09-23 16:20:05.05",83697,5,0,0.34,0.01,-0.01,34.54,0.340147
"2025-09-23 16:20:05.1",83698,6,1,0.36,0.01,-0.01,34.54,0.3601389
"2025-09-23 16:20:05.15",83699,1,10,0.37,0.01,0,34.54,0.3701351
"2025-09-23 16:20:05.2",83700,2,38,0.34,0.01,-0.01,34.54,0.340147
"2025-09-23 16:20:05.25",83701,3,0,0.34,-0.02,-0.03,34.53,0.3405877
"2025-09-23 16:20:05.3",83702,4,0,0.37,-0.03,-0.03,34.53,0.3712142
"2025-09-23 16:20:05.35",83703,5,0,0.34,-0.02,-0.03,34.53,0.3405877
"2025-09-23 16:20:05.4",83704,6,1,0.33,-0.02,-0.04,34.53,0.3306055
"2025-09-23 16:20:05.45",83705,1,10,0.33,-0.01,-0.04,34.53,0.3301515
"2025-09-23 16:20:05.5",83706,2,38,0.33,-0.01,-0.04,34.54,0.3301515
"2025-09-23 16:20:05.55",83707,3,0,0.32,-0.02,-0.03,34.54,0.3206244
"2025-09-23 16:20:05.6",83708,4,0,0.33,-0.02,-0.03,34.54,0.3306055
"2025-09-23 16:20:05.65",83709,5,0,0.33,-0.02,-0.01,34.54,0.3306055
"2025-09-23 16:20:05.7",83710,6,1,0.33,-0.02,-0.01,34.54,0.3306055
"2025-09-23 16:20:05.75",83711,1,10,0.35,-0.01,-0.01,34.54,0.3501428
"2025-09-23 16:20:05.8",83712,2,38,0.35,-0.01,-0.01,34.53,0.3501428
"2025-09-23 16:20:05.85",83713,3,0,0.34,-0.01,-0.02,34.53,0.340147
"2025-09-23 16:20:05.9",83714,4,0,0.34,-0.01,-0.04,34.53,0.340147
"2025-09-23 16:20:05.95",83715,5,0,0.34,0,-0.05,34.53,0.34
"2025-09-23 16:20:06",83716,6,1,0.34,0,-0.04,34.53,0.34
"2025-09-23 16:20:06.05",83717,1,10,0.34,0,-0.04,34.53,0.34
"2025-09-23 16:20:06.1",83718,2,38,0.33,-0.01,-0.02,34.53,0.3301515
"2025-09-23 16:20:06.15",83719,3,0,0.33,-0.03,-0.01,34.54,0.3313608
"2025-09-23 16:20:06.2",83720,4,0,0.33,-0.03,-0.01,34.54,0.3313608
"2025-09-23 16:20:06.25",83721,5,0,0.32,-0.03,-0.02,34.54,0.3214032
"2025-09-23 16:20:06.3",83722,6,1,0.32,-0.02,-0.03,34.54,0.3206244
"2025-09-23 16:20:06.35",83723,1,10,0.32,-0.03,-0.04,34.54,0.3214032
"2025-09-23 16:20:06.4",83724,2,38,0.32,-0.03,-0.04,34.54,0.3214032
"2025-09-23 16:20:06.45",83725,3,0,0.32,-0.03,-0.04,34.54,0.3214032
"2025-09-23 16:20:06.5",83726,4,0,0.32,-0.02,-0.04,34.54,0.3206244
"2025-09-23 16:20:06.55",83727,5,0,0.32,-0.02,-0.04,34.54,0.3206244
"2025-09-23 16:20:06.6",83728,6,1,0.32,-0.02,-0.03,34.54,0.3206244
"2025-09-23 16:20:06.65",83729,1,10,0.32,-0.02,-0.03,34.54,0.3206244
"2025-09-23 16:20:06.7",83730,2,38,0.32,-0.01,-0.03,34.54,0.3201562
"2025-09-23 16:20:06.75",83731,3,0,0.32,-0.01,-0.03,34.54,0.3201562
"2025-09-23 16:20:06.8",83732,4,0,0.32,-0.02,-0.03,34.54,0.3206244
"2025-09-23 16:20:06.85",83733,5,0,0.32,-0.01,-0.04,34.54,0.3201562
"2025-09-23 16:20:06.9",83734,6,1,0.31,-0.01,-0.05,34.54,0.3101613
"2025-09-23 16:20:06.95",83735,1,10,0.32,-0.02,-0.04,34.54,0.3206244
"2025-09-23 16:20:07",83736,2,38,0.32,-0.02,-0.03,34.54,0.3206244
"2025-09-23 16:20:07.05",83737,3,0,0.32,-0.01,-0.02,34.54,0.3201562
"2025-09-23 16:20:07.1",83738,4,0,0.31,0,-0.03,34.54,0.31
"2025-09-23 16:20:07.15",83739,5,0,0.31,-0.01,-0.03,34.54,0.3101613
"2025-09-23 16:20:07.2",83740,6,1,0.31,0.01,-0.04,34.54,0.3101613
"2025-09-23 16:20:07.25",83741,1,10,0.31,0,-0.03,34.54,0.31
"2025-09-23 16:20:07.3",83742,2,38,0.31,0,-0.03,34.54,0.31
"2025-09-23 16:20:07.35",83743,3,0,0.32,-0.01,-0.03,34.55,0.3201562
"2025-09-23 16:20:07.4",83744,4,0,0.32,-0.01,-0.03,34.55,0.3201562
"2025-09-23 16:20:07.45",83745,5,0,0.32,-0.01,-0.03,34.54,0.3201562
"2025-09-23 16:20:07.5",83746,6,1,0.32,-0.02,-0.03,34.54,0.3206244
"2025-09-23 16:20:07.55",83747,1,10,0.3,-0.01,-0.03,34.54,0.3001666
