"TOA5","3702","CR6","3702","CR6.14.4.0","CPU:Gill_R3-50.CR6","258","gill_20hz"
"TIMESTAMP","RECORD","staA","staD","Ux_gill","Uy_gill","Uz_gill","temp_gill","AWS"
"TS","RN","none","none","m/s","m/s","m/s","Celsius",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-09-23 15:20:00.05",11597,5,0,8.46,-0.18,0.67,32.69,8.461915
"2025-09-23 15:20:00.1",11598,6,1,8.71,0.21,0.18,32.74,8.712531
"2025-09-23 15:20:00.15",11599,1,10,8.79,0.14,0.06,32.69,8.791115
"2025-09-23 15:20:00.2",11600,2,38,8.32,0.22,-0.31,32.73,8.322909
"2025-09-23 15:20:00.25",11601,3,0,7.84,-0.11,-1.17,32.68,7.840772
"2025-09-23 15:20:00.3",11602,4,0,9.14,-0.19,0.07,32.71,9.141975
"2025-09-23 15:20:00.35",11603,5,0,9.16,0.01,0.23,32.74,9.160005
"2025-09-23 15:20:00.4",11604,6,1,8.15,-0.3,-0.86,32.71,8.155518
"2025-09-23 15:20:00.45",11605,1,10,7.92,0.27,0.04,32.7,7.924601
"2025-09-23 15:20:00.5",11606,2,38,8.020001,0.45,-0.22,32.76,8.032614
"2025-09-23 15:20:00.55",11607,3,0,7.92,0.58,-0.16,32.73,7.941209
"2025-09-23 15:20:00.6",11608,4,0,8.18,0.79,-0.62,32.76,8.218059
"2025-09-23 15:20:00.65",11609,5,0,8.24,0.03,-0.2,32.65,8.240054
"2025-09-23 15:20:00.7",11610,6,1,8.62,-0.17,0.3,32.7,8.621677
"2025-09-23 15:20:00.75",11611,1,10,8.86,-0.19,0.15,32.7,8.862037
"2025-09-23 15:20:00.8",11612,2,38,8.84,0,0.12,32.68,8.84
"2025-09-23 15:20:00.85",11613,3,0,9.53,-0.18,0.16,32.73,9.531699
"2025-09-23 15:20:00.9",11614,4,0,9.49,-0.38,0.08,32.68,9.497606
"2025-09-23 15:20:00.95",11615,5,0,9.42,-0.37,-0.05,32.68,9.427264
"2025-09-23 15:20:01",11616,6,1,9.08,0.38,-0.26,32.72,9.087948
"2025-09-23 15:20:01.05",11617,1,10,8.4,-0.22,-0.15,32.68,8.40288
"2025-09-23 15:20:01.1",11618,2,38,8.93,-0.31,0.03,32.72,8.935379
"2025-09-23 15:20:01.15",11619,3,0,9.12,0.05,0.47,32.65,9.120138
"2025-09-23 15:20:01.2",11620,4,0,8.7,-1.07,0.26,32.72,8.765551
"2025-09-23 15:20:01.25",11621,5,0,8.9,-0.39,0.22,32.71,8.908541
"2025-09-23 15:20:01.3",11622,6,1,8.22,-0.29,-0.16,32.78,8.225114
"2025-09-23 15:20:01.35",11623,1,10,8.96,-0.17,-0.34,32.7,8.961613
"2025-09-23 15:20:01.4",11624,2,38,8.9,0.64,-0.18,32.73,8.922982
"2025-09-23 15:20:01.45",11625,3,0,8.45,0.49,-0.14,32.76,8.464195
"2025-09-23 15:20:01.5",11626,4,0,8.520001,0.56,-0.39,32.69,8.538385
"2025-09-23 15:20:01.55",11627,5,0,9.12,0.4,0.01,32.71,9.128768
"2025-09-23 15:20:01.6",11628,6,1,9.17,0.57,0.19,32.69,9.187698
"2025-09-23 15:20:01.65",11629,1,10,9.49,0.01,0.25,32.69,9.490006
"2025-09-23 15:20:01.7",11630,2,38,9.5,-0.33,-0.07,32.68,9.50573
"2025-09-23 15:20:01.75",11631,3,0,8.92,0.19,-0.07,32.71,8.922024
"2025-09-23 15:20:01.8",11632,4,0,7.8,-0.18,0.38,32.68,7.802077
"2025-09-23 15:20:01.85",11633,5,0,8.24,-0.69,0.36,32.7,8.268839
"2025-09-23 15:20:01.9",11634,6,1,8.7,-0.11,0.19,32.74,8.700695
"2025-09-23 15:20:01.95",11635,1,10,8.34,-0.21,-0.78,32.71,8.342644
"2025-09-23 15:20:02",11636,2,38,8.96,-0.39,0.23,32.72,8.968484
"2025-09-23 15:20:02.05",11637,3,0,8.78,0,0.63,32.71,8.78
"2025-09-23 15:20:02.1",11638,4,0,8.64,0.23,0.67,32.76,8.643062
"2025-09-23 15:20:02.15",11639,5,0,7.88,0.62,-0.69,32.79,7.904353
"2025-09-23 15:20:02.2",11640,6,1,6.43,0.74,-1.28,32.73,6.472441
"2025-09-23 15:20:02.25",11641,1,10,7.3,0.73,-0.66,32.72,7.33641
"2025-09-23 15:20:02.3",11642,2,38,8.439999,-0.15,-0.55,32.75,8.441332
"2025-09-23 15:20:02.35",11643,3,0,8.689999,0.2,0.14,32.75,8.692301
"2025-09-23 15:20:02.4",11644,4,0,8.34,0.28,0.18,32.71,8.344699
"2025-09-23 15:20:02.45",11645,5,0,8.57,0.17,0.45,32.68,8.571686
"2025-09-23 15:20:02.5",11646,6,1,8.439999,-0.25,0.04,32.78,8.443701
"2025-09-23 15:20:02.55",11647,1,10,8.26,0.27,-0.61,32.75,8.264412
"2025-09-23 15:20:02.6",11648,2,38,8.78,0.34,-0.53,32.73,8.78658
"2025-09-23 15:20:02.65",11649,3,0,9,-0.44,0.34,32.72,9.010749
"2025-09-23 15:20:02.7",11650,4,0,8.35,0.29,-0.19,32.77,8.355035
"2025-09-23 15:20:02.75",11651,5,0,8.76,0.33,-0.49,32.7,8.766214
"2025-09-23 15:20:02.8",11652,6,1,8.51,0.37,-0.32,32.75,8.51804
"2025-09-23 15:20:02.85",11653,1,10,8.86,0.05,-0.08,32.72,8.860141
"2025-09-23 15:20:02.9",11654,2,38,9.43,-0.34,0.07,32.71,9.436128
"2025-09-23 15:20:02.95",11655,3,0,9.520001,-0.24,0.05,32.7,9.523026
"2025-09-23 15:20:03",11656,4,0,9.7,0,-0.13,32.72,9.7
"2025-09-23 15:20:03.05",11657,5,0,9.11,-0.26,0.1,32.74,9.11371
"2025-09-23 15:20:03.1",11658,6,1,9.14,0.24,0.17,32.69,9.14315
"2025-09-23 15:20:03.15",11659,1,10,8.99,-0.67,-0.37,32.76,9.014932
"2025-09-23 15:20:03.2",11660,2,38,8.26,-0.17,-0.05,32.71,8.26175
"2025-09-23 15:20:03.25",11661,3,0,8.14,0.05,0.31,32.69,8.140154
"2025-09-23 15:20:03.3",11662,4,0,8.54,-0.24,0.76,32.68,8.543372
"2025-09-23 15:20:03.35",11663,5,0,8.6,0.59,0.18,32.74,8.620214
"2025-09-23 15:20:03.4",11664,6,1,7.97,0.08,-0.1,32.76,7.970402
"2025-09-23 15:20:03.45",11665,1,10,9.05,-0.24,-0.22,32.67,9.053182
"2025-09-23 15:20:03.5",11666,2,38,9.020001,-0.17,0.17,32.73,9.021602
"2025-09-23 15:20:03.55",11667,3,0,9.46,-0.12,0.36,32.72,9.460761
"2025-09-23 15:20:03.6",11668,4,0,9.25,-0.27,-0.35,32.7,9.25394
"2025-09-23 15:20:03.65",11669,5,0,8.33,-0.23,-0.31,32.73,8.333174
"2025-09-23 15:20:03.7",11670,6,1,7.55,0.76,-0.56,32.71,7.588155
"2025-09-23 15:20:03.75",11671,1,10,7.38,0.62,-0.75,32.72,7.405998
"2025-09-23 15:20:03.8",11672,2,38,8.32,-0.16,0.84,32.69,8.321538
"2025-09-23 15:20:03.85",11673,3,0,8.26,1.37,0.07,32.74,8.372842
"2025-09-23 15:20:03.9",11674,4,0,7.48,0.1,-0.76,32.71,7.480669
"2025-09-23 15:20:03.95",11675,5,0,8.1,0.29,-0.47,32.7,8.10519
"2025-09-23 15:20:04",11676,6,1,9.05,0.05,0.36,32.76,9.050138
"2025-09-23 15:20:04.05",11677,1,10,9.41,-0.23,-0.24,32.72,9.41281
"2025-09-23 15:20:04.1",11678,2,38,9.35,0.29,-0.07,32.74,9.354497
"2025-09-23 15:20:04.15",11679,3,0,9.08,0.32,-0.23,32.72,9.085637
"2025-09-23 15:20:04.2",11680,4,0,8.6,-0.15,-0.18,32.7,8.601309
"2025-09-23 15:20:04.25",11681,5,0,8.479999,-0.2,-0.21,32.72,8.482358
"2025-09-23 15:20:04.3",11682,6,1,8.729999,-0.16,0.32,32.7,8.731466
"2025-09-23 15:20:04.35",11683,1,10,9.08,0.33,0.53,32.75,9.085994
"2025-09-23 15:20:04.4",11684,2,38,9.04,0.22,0.12,32.69,9.042676
"2025-09-23 15:20:04.45",11685,3,0,9.24,-0.39,-0.21,32.74,9.248226
"2025-09-23 15:20:04.5",11686,4,0,8.32,0.96,0.19,32.67,8.375202
"2025-09-23 15:20:04.55",11687,5,0,7.69,1.23,-0.15,32.73,7.787747
"2025-09-23 15:20:04.6",11688,6,1,8.7,-0.81,0.14,32.75,8.737625
"2025-09-23 15:20:04.65",11689,1,10,9.05,-0.29,-0.14,32.7,9.054646
"2025-09-23 15:20:04.7",11690,2,38,8.54,0.39,-0.33,32.77,8.548901
"2025-09-23 15:20:04.75",11691,3,0,8.310001,0.46,-0.5,32.67,8.322722
"2025-09-23 15:20:04.8",11692,4,0,8.479999,0.03,-0.03,32.75,8.480053
"2025-09-23 15:20:04.85",11693,5,0,9.37,-0.2,0.21,32.76,9.372134
"2025-09-23 15:20:04.9",11694,6,1,8.82,-0.01,0.06,32.7,8.820006
"2025-09-23 15:20:04.95",11695,1,10,8.62,0.06,0.22,32.71,8.620209
"2025-09-23 15:20:05",11696,2,38,8.83,0.17,0.51,32.69,8.831637
"2025-09-23 15:20:05.05",11697,3,0,8.55,0.15,0.23,32.67,8.551315
"2025-09-23 15:20:05.1",11698,4,0,7.92,0.19,-0.34,32.74,7.922279
"2025-09-23 15:20:05.15",11699,5,0,6.85,0.5,-1.3,32.65,6.868224
"2025-09-23 15:20:05.2",11700,6,1,8.07,0.06,-0.55,32.69,8.070223
"2025-09-23 15:20:05.25",11701,1,10,8.99,-0.18,-0.26,32.68,8.991802
"2025-09-23 15:20:05.3",11702,2,38,8.689999,0.4,0.15,32.71,8.699201
"2025-09-23 15:20:05.35",11703,3,0,8.68,0.51,0.26,32.7,8.69497
"2025-09-23 15:20:05.4",11704,4,0,8.25,0.07,0.35,32.7,8.250297
"2025-09-23 15:20:05.45",11705,5,0,8.71,0.15,0.18,32.71,8.711291
"2025-09-23 15:20:05.5",11706,6,1,8.96,-0.2,0.34,32.71,8.962232
"2025-09-23 15:20:05.55",11707,1,10,8.939999,-0.26,0.08,32.75,8.943779
"2025-09-23 15:20:05.6",11708,2,38,8.57,-0.33,-0.18,32.71,8.576351
"2025-09-23 15:20:05.65",11709,3,0,8.07,0.74,-0.99,32.74,8.103857
"2025-09-23 15:20:05.7",11710,4,0,6.62,0.25,0.06,32.69,6.624719
"2025-09-23 15:20:05.75",11711,5,0,7.78,-0.63,-0.66,32.73,7.805466
"2025-09-23 15:20:05.8",11712,6,1,7.8,0.32,-0.24,32.69,7.806562
"2025-09-23 15:20:05.85",11713,1,10,8.74,-0.15,0.17,32.75,8.741287
"2025-09-23 15:20:05.9",11714,2,38,8.61,0.2,0.01,32.73,8.612323
"2025-09-23 15:20:05.95",11715,3,0,8.83,-0.17,-0.2,32.71,8.831637
"2025-09-23 15:20:06",11716,4,0,9.25,-0.46,-0.09,32.75,9.26143
"2025-09-23 15:20:06.05",11717,5,0,8.25,0.26,0.21,32.69,8.254096
"2025-09-23 15:20:06.1",11718,6,1,9.47,-0.2,0.04,32.74,9.472112
"2025-09-23 15:20:06.15",11719,1,10,9.28,-0.24,-0.11,32.77,9.283103
"2025-09-23 15:20:06.2",11720,2,38,9.62,-0.34,-0.02,32.7,9.626006
"2025-09-23 15:20:06.25",11721,3,0,9.78,-0.14,0.22,32.77,9.781001
"2025-09-23 15:20:06.3",11722,4,0,9.5,0.2,0.12,32.75,9.502105
"2025-09-23 15:20:06.35",11723,5,0,9.13,0.29,0.04,32.73,9.134605
"2025-09-23 15:20:06.4",11724,6,1,8.83,-0.17,-0.18,32.71,8.831637
"2025-09-23 15:20:06.45",11725,1,10,8.93,0.27,0.02,32.71,8.934081
"2025-09-23 15:20:06.5",11726,2,38,8.35,-0.14,0.07,32.71,8.351174
"2025-09-23 15:20:06.55",11727,3,0,9.41,-0.45,0.26,32.71,9.420754
"2025-09-23 15:20:06.6",11728,4,0,9.76,-0.23,-0.25,32.69,9.76271
"2025-09-23 15:20:06.65",11729,5,0,9.09,-0.28,-0.01,32.73,9.094312
"2025-09-23 15:20:06.7",11730,6,1,9.24,0.28,0.46,32.74,9.244241
"2025-09-23 15:20:06.75",11731,1,10,9.41,-0.19,0.07,32.69,9.411918
"2025-09-23 15:20:06.8",11732,2,38,9.6,0.73,0.63,32.76,9.627715
"2025-09-23 15:20:06.85",11733,3,0,8.74,0.26,-0.52,32.71,8.743866
"2025-09-23 15:20:06.9",11734,4,0,8.58,0.51,-0.2,32.73,8.595144
"2025-09-23 15:20:06.95",11735,5,0,8.810001,-0.25,0.13,32.69,8.813546
"2025-09-23 15:20:07",11736,6,1,8.7,0.04,0.14,32.72,8.700091
"2025-09-23 15:20:07.05",11737,1,10,8.53,0.02,0.25,32.75,8.530022
"2025-09-23 15:20:07.1",11738,2,38,8.58,-0.15,0.14,32.72,8.581311
"2025-09-23 15:20:07.15",11739,3,0,8.45,0.15,0.17,32.71,8.451331
"2025-09-23 15:20:07.2",11740,4,0,8.04,-0.04,0.11,32.72,8.0401
"2025-09-23 15:20:07.25",11741,5,0,8.55,0.06,0.53,32.76,8.550211
"2025-09-23 15:20:07.3",11742,6,1,8.229999,0.12,0.16,32.71,8.230874
"2025-09-23 15:20:07.35",11743,1,10,8.09,-0.89,-0.58,32.77,8.138808
"2025-09-23 15:20:07.4",11744,2,38,8.89,0.01,-0.09,32.73,8.890006
"2025-09-23 15:20:07.45",11745,3,0,8.4,-0.02,-0.62,32.72,8.400023
"2025-09-23 15:20:07.5",11746,4,0,8.87,0.35,-0.05,32.69,8.876902
"2025-09-23 15:20:07.55",11747,5,0,8.43,0.17,0.12,32.77,8.431714
"2025-09-23 15:20:07.6",11748,6,1,8.64,0.17,0.23,32.74,8.641672
"2025-09-23 15:20:07.65",11749,1,10,9.04,0.07,0.09,32.75,9.040271
