"TOA5","3702","CR6","3702","CR6.14.4.0","CPU:Gill_R3-50.CR6","258","gill_20hz"
"TIMESTAMP","RECORD","staA","staD","Ux_gill","Uy_gill","Uz_gill","temp_gill","AWS"
"TS","RN","none","none","m/s","m/s","m/s","Celsius",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-09-23 15:10:20.2",0,6,1,0.34,-0.05,-0.02,32.37,0.3436568
"2025-09-23 15:10:20.25",1,1,10,0.35,-0.06,-0.02,32.37,0.3551056
"2025-09-23 15:10:20.3",2,2,38,0.36,-0.07,-0.03,32.37,0.3667424
"2025-09-23 15:10:20.35",3,3,0,0.37,-0.05,-0.04,32.38,0.3733631
"2025-09-23 15:10:20.4",4,4,0,0.37,-0.04,-0.05,32.38,0.3721559
"2025-09-23 15:10:20.45",5,5,0,0.38,-0.05,-0.04,32.38,0.3832754
"2025-09-23 15:10:20.5",6,6,1,0.38,-0.05,-0.02,32.38,0.3832754
"2025-09-23 15:10:20.55",7,1,10,0.38,-0.05,-0.02,32.39,0.3832754
"2025-09-23 15:10:20.6",8,2,38,0.38,-0.06,-0.02,32.39,0.3847077
"2025-09-23 15:10:20.65",9,3,0,0.36,-0.07,-0.03,32.38,0.3667424
"2025-09-23 15:10:20.7",10,4,0,0.36,-0.06,-0.03,32.38,0.3649658
"2025-09-23 15:10:20.75",11,5,0,0.35,-0.06,-0.02,32.38,0.3551056
"2025-09-23 15:10:20.8",12,6,1,0.36,-0.08,-0.01,32.38,0.3687818
"2025-09-23 15:10:20.85",13,1,10,0.36,-0.08,0.01,32.38,0.3687818
"2025-09-23 15:10:20.9",14,2,38,0.35,-0.07,0.01,32.39,0.3569314
"2025-09-23 15:10:20.95",15,3,0,0.36,-0.07,0.01,32.4,0.3667424
"2025-09-23 15:10:21",16,4,0,0.37,-0.06,0.01,32.4,0.3748333
"2025-09-23 15:10:21.05",17,5,0,0.38,-0.06,0,32.4,0.3847077
"2025-09-23 15:10:21.1",18,6,1,0.38,-0.05,-0.02,32.4,0.3832754
"2025-09-23 15:10:21.15",19,1,10,0.39,-0.02,-0.05,32.41,0.3905125
"2025-09-23 15:10:21.2",20,2,38,0.36,0,-0.08,32.41,0.36
"2025-09-23 15:10:21.25",21,3,0,0.34,0.02,-0.08,32.41,0.3405877
"2025-09-23 15:10:21.3",22,4,0,0.31,0.05,-0.08,32.41,0.3140064
"2025-09-23 15:10:21.35",23,5,0,0.3,0.04,-0.09,32.41,0.3026549
"2025-09-23 15:10:21.4",24,6,1,0.3,0.04,-0.09,32.41,0.3026549
"2025-09-23 15:10:21.45",25,1,10,0.33,0.06,-0.08,32.41,0.3354102
"2025-09-23 15:10:21.5",26,2,38,0.33,0.04,-0.08,32.41,0.3324154
"2025-09-23 15:10:21.55",27,3,0,0.33,0.02,-0.06,32.41,0.3306055
"2025-09-23 15:10:21.6",28,4,0,0.31,0.05,-0.04,32.41,0.3140064
"2025-09-23 15:10:21.65",29,5,0,0.3,0.06,-0.02,32.41,0.3059412
"2025-09-23 15:10:21.7",30,6,1,0.32,0.09,0.02,32.41,0.3324154
"2025-09-23 15:10:21.75",31,1,10,0.35,0.1,0.01,32.42,0.3640055
"2025-09-23 15:10:21.8",32,2,38,0.35,0.09,0,32.42,0.3613862
"2025-09-23 15:10:21.85",33,3,0,0.35,0.09,-0.02,32.42,0.3613862
"2025-09-23 15:10:21.9",34,4,0,0.34,0.08,-0.01,32.43,0.349285
"2025-09-23 15:10:21.95",35,5,0,0.35,0.1,-0.01,32.43,0.3640055
"2025-09-23 15:10:22",36,6,1,0.34,0.09,-0.01,32.42,0.3517101
"2025-09-23 15:10:22.05",37,1,10,0.34,0.08,0.01,32.42,0.349285
"2025-09-23 15:10:22.1",38,2,38,0.34,0.04,0.01,32.42,0.3423448
"2025-09-23 15:10:22.15",39,3,0,0.34,0.02,0.02,32.42,0.3405877
"2025-09-23 15:10:22.2",40,4,0,0.34,0.01,0.01,32.42,0.340147
"2025-09-23 15:10:22.25",41,5,0,0.34,0.01,0.01,32.42,0.340147
"2025-09-23 15:10:22.3",42,6,1,0.36,-0.03,0.03,32.42,0.3612478
"2025-09-23 15:10:22.35",43,1,10,0.35,-0.04,0.04,32.42,0.3522783
"2025-09-23 15:10:22.4",44,2,38,0.33,-0.02,0.04,32.42,0.3306055
"2025-09-23 15:10:22.45",45,3,0,0.33,-0.02,0.04,32.42,0.3306055
"2025-09-23 15:10:22.5",46,4,0,0.32,0,0.03,32.42,0.32
"2025-09-23 15:10:22.55",47,5,0,0.34,0,0.02,32.41,0.34
"2025-09-23 15:10:22.6",48,6,1,0.35,-0.01,0.02,32.41,0.3501428
"2025-09-23 15:10:22.65",49,1,10,0.37,-0.04,0.03,32.41,0.3721559
"2025-09-23 15:10:22.7",50,2,38,0.36,-0.01,0.03,32.41,0.3601389
"2025-09-23 15:10:22.75",51,3,0,0.37,0.01,0.02,32.4,0.3701351
"2025-09-23 15:10:22.8",52,4,0,0.37,0,0.01,32.4,0.37
"2025-09-23 15:10:22.85",53,5,0,0.37,0,0.01,32.4,0.37
"2025-09-23 15:10:22.9",54,6,1,0.35,-0.01,0.02,32.4,0.3501428
"2025-09-23 15:10:22.95",55,1,10,0.34,-0.02,0.02,32.39,0.3405877
"2025-09-23 15:10:23",56,2,38,0.35,-0.04,0.01,32.39,0.3522783
"2025-09-23 15:10:23.05",57,3,0,0.34,-0.04,0.02,32.39,0.3423448
"2025-09-23 15:10:23.1",58,4,0,0.34,-0.05,0.01,32.4,0.3436568
"2025-09-23 15:10:23.15",59,5,0,0.32,-0.03,0.02,32.39,0.3214032
"2025-09-23 15:10:23.2",60,6,1,0.31,-0.04,0.02,32.39,0.31257
"2025-09-23 15:10:23.25",61,1,10,0.31,-0.02,0.02,32.39,0.3106445
"2025-09-23 15:10:23.3",62,2,38,0.3,-0.01,0.02,32.39,0.3001666
"2025-09-23 15:10:23.35",63,3,0,0.3,-0.04,0.03,32.39,0.3026549
"2025-09-23 15:10:23.4",64,4,0,0.31,-0.07,0.04,32.39,0.317805
"2025-09-23 15:10:23.45",65,5,0,0.31,-0.06,0.06,32.39,0.3157531
"2025-09-23 15:10:23.5",66,6,1,0.31,-0.06,0.07,32.39,0.3157531
"2025-09-23 15:10:23.55",67,1,10,0.29,-0.07,0.08,32.39,0.2983287
"2025-09-23 15:10:23.6",68,2,38,0.28,-0.08,0.09,32.39,0.2912044
"2025-09-23 15:10:23.65",69,3,0,0.29,-0.07,0.09,32.39,0.2983287
"2025-09-23 15:10:23.7",70,4,0,0.29,-0.05,0.1,32.39,0.2942788
"2025-09-23 15:10:23.75",71,5,0,0.31,-0.04,0.08,32.4,0.31257
"2025-09-23 15:10:23.8",72,6,1,0.32,-0.02,0.06,32.39,0.3206244
"2025-09-23 15:10:23.85",73,1,10,0.32,-0.02,0.05,32.39,0.3206244
"2025-09-23 15:10:23.9",74,2,38,0.32,-0.02,0.05,32.39,0.3206244
"2025-09-23 15:10:23.95",75,3,0,0.34,-0.05,0.04,32.39,0.3436568
"2025-09-23 15:10:24",76,4,0,0.33,-0.06,0.03,32.39,0.3354102
"2025-09-23 15:10:24.05",77,5,0,0.33,-0.06,0.04,32.39,0.3354102
"2025-09-23 15:10:24.1",78,6,1,0.33,-0.06,0.05,32.39,0.3354102
"2025-09-23 15:10:24.15",79,1,10,0.33,-0.06,0.05,32.39,0.3354102
"2025-09-23 15:10:24.2",80,2,38,0.34,-0.06,0.04,32.39,0.3452535
"2025-09-23 15:10:24.25",81,3,0,0.34,-0.06,0.04,32.4,0.3452535
"2025-09-23 15:10:24.3",82,4,0,0.35,-0.07,0.04,32.41,0.3569314
"2025-09-23 15:10:24.35",83,5,0,0.36,-0.09,0.02,32.4,0.3710795
"2025-09-23 15:10:24.4",84,6,1,0.36,-0.09,0,32.4,0.3710795
"2025-09-23 15:10:24.45",85,1,10,0.35,-0.07,-0.03,32.4,0.3569314
"2025-09-23 15:10:24.5",86,2,38,0.33,-0.06,-0.03,32.41,0.3354102
"2025-09-23 15:10:24.55",87,3,0,0.33,-0.05,-0.01,32.42,0.3337664
"2025-09-23 15:10:24.6",88,4,0,0.33,-0.02,-0.01,32.42,0.3306055
"2025-09-23 15:10:24.65",89,5,0,0.34,-0.02,0,32.42,0.3405877
"2025-09-23 15:10:24.7",90,6,1,0.35,-0.01,-0.01,32.42,0.3501428
"2025-09-23 15:10:24.75",91,1,10,0.36,-0.01,-0.02,32.42,0.3601389
"2025-09-23 15:10:24.8",92,2,38,0.38,-0.03,-0.02,32.42,0.3811824
"2025-09-23 15:10:24.85",93,3,0,0.36,-0.01,-0.02,32.42,0.3601389
"2025-09-23 15:10:24.9",94,4,0,0.38,0.02,-0.01,32.42,0.380526
"2025-09-23 15:10:24.95",95,5,0,0.38,0.01,-0.01,32.42,0.3801316
"2025-09-23 15:10:25",96,6,1,0.38,0.01,0,32.42,0.3801316
"2025-09-23 15:10:25.05",97,1,10,0.38,0.01,-0.01,32.42,0.3801316
"2025-09-23 15:10:25.1",98,2,38,0.38,0.02,-0.02,32.42,0.380526
"2025-09-23 15:10:25.15",99,3,0,0.36,0.02,-0.03,32.42,0.3605552
"2025-09-23 15:10:25.2",100,4,0,0.35,0.02,-0.02,32.42,0.350571
"2025-09-23 15:10:25.25",101,5,0,0.34,0,-0.02,32.42,0.34
"2025-09-23 15:10:25.3",102,6,1,0.33,-0.02,-0.01,32.42,0.3306055
"2025-09-23 15:10:25.35",103,1,10,0.33,-0.02,-0.02,32.42,0.3306055
"2025-09-23 15:10:25.4",104,2,38,0.34,-0.02,-0.02,32.42,0.3405877
"2025-09-23 15:10:25.45",105,3,0,0.35,-0.01,-0.02,32.42,0.3501428
"2025-09-23 15:10:25.5",106,4,0,0.34,0,-0.02,32.42,0.34
"2025-09-23 15:10:25.55",107,5,0,0.34,0,-0.02,32.42,0.34
"2025-09-23 15:10:25.6",108,6,1,0.32,0,-0.01,32.42,0.32
"2025-09-23 15:10:25.65",109,1,10,0.32,0,-0.01,32.42,0.32
"2025-09-23 15:10:25.7",110,2,38,0.32,0,0.01,32.42,0.32
"2025-09-23 15:10:25.75",111,3,0,0.33,0.02,0.01,32.42,0.3306055
"2025-09-23 15:10:25.8",112,4,0,0.33,0.03,0.01,32.42,0.3313608
"2025-09-23 15:10:25.85",113,5,0,0.32,0,0.01,32.42,0.32
"2025-09-23 15:10:25.9",114,6,1,0.31,0.01,0.01,32.42,0.3101613
"2025-09-23 15:10:25.95",115,1,10,0.31,-0.01,0,32.42,0.3101613
"2025-09-23 15:10:26",116,2,38,0.31,-0.01,-0.02,32.42,0.3101613
"2025-09-23 15:10:26.05",117,3,0,0.32,-0.01,-0.02,32.42,0.3201562
"2025-09-23 15:10:26.1",118,4,0,0.32,-0.01,-0.04,32.42,0.3201562
"2025-09-23 15:10:26.15",119,5,0,0.32,-0.02,-0.03,32.42,0.3206244
"2025-09-23 15:10:26.2",120,6,1,0.31,0,-0.03,32.42,0.31
"2025-09-23 15:10:26.25",121,1,10,0.29,0.04,-0.01,32.42,0.2927456
"2025-09-23 15:10:26.3",122,2,38,0.29,0.04,0.01,32.42,0.2927456
"2025-09-23 15:10:26.35",123,3,0,0.29,0.05,0.03,32.42,0.2942788
"2025-09-23 15:10:26.4",124,4,0,0.31,0.05,0.04,32.42,0.3140064
"2025-09-23 15:10:26.45",125,5,0,0.32,0,0.04,32.42,0.32
"2025-09-23 15:10:26.5",126,6,1,0.34,0,0.04,32.42,0.34
"2025-09-23 15:10:26.55",127,1,10,0.34,0.01,0.03,32.43,0.340147
"2025-09-23 15:10:26.6",128,2,38,0.34,0.04,0.01,32.42,0.3423448
"2025-09-23 15:10:26.65",129,3,0,0.33,0.06,0.01,32.42,0.3354102
"2025-09-23 15:10:26.7",130,4,0,0.31,0.05,0.02,32.42,0.3140064
"2025-09-23 15:10:26.75",131,5,0,0.3,0.04,0.02,32.42,0.3026549
"2025-09-23 15:10:26.8",132,6,1,0.3,0.04,0.01,32.42,0.3026549
"2025-09-23 15:10:26.85",133,1,10,0.33,0.03,0.01,32.42,0.3313608
"2025-09-23 15:10:26.9",134,2,38,0.36,0.03,0.01,32.41,0.3612478
"2025-09-23 15:10:26.95",135,3,0,0.34,0.04,0.01,32.42,0.3423448
"2025-09-23 15:10:27",136,4,0,0.32,0.05,0.01,32.41,0.3238827
"2025-09-23 15:10:27.05",137,5,0,0.32,0.05,0.01,32.41,0.3238827
"2025-09-23 15:10:27.1",138,6,1,0.33,0.06,0.02,32.42,0.3354102
"2025-09-23 15:10:27.15",139,1,10,0.33,0.06,0.01,32.41,0.3354102
"2025-09-23 15:10:27.2",140,2,38,0.33,0.06,0.02,32.41,0.3354102
"2025-09-23 15:10:27.25",141,3,0,0.33,0.04,0.01,32.41,0.3324154
"2025-09-23 15:10:27.3",142,4,0,0.31,0.02,-0.01,32.4,0.3106445
"2025-09-23 15:10:27.35",143,5,0,0.3,0.02,-0.01,32.39,0.3006659
"2025-09-23 15:10:27.4",144,6,1,0.31,0,0.01,32.39,0.31
"2025-09-23 15:10:27.45",145,1,10,0.31,-0.01,0.02,32.39,0.3101613
"2025-09-23 15:10:27.5",146,2,38,0.32,-0.01,0.01,32.39,0.3201562
"2025-09-23 15:10:27.55",147,3,0,0.31,-0.01,0.02,32.39,0.3101613
"2025-09-23 15:10:27.6",148,4,0,0.32,-0.02,0.02,32.39,0.3206244
"2025-09-23 15:10:27.65",149,5,0,0.32,-0.02,0.02,32.39,0.3206244
"2025-09-23 15:10:27.7",150,6,1,0.32,-0.01,0.01,32.39,0.3201562
"2025-09-23 15:10:27.75",151,1,10,0.32,-0.01,0.02,32.39,0.3201562
"2025-09-23 15:10:27.8",152,2,38,0.32,-0.02,0,32.39,0.3206244
"2025-09-23 15:10:27.85",153,3,0,0.33,-0.02,-0.01,32.39,0.3306055
"2025-09-23 15:10:27.9",154,4,0,0.34,-0.05,-0.01,32.39,0.3436568
