"TOA5","3702","CR6","3702","CR6.14.4.0","CPU:Gill_R3-50.CR6","258","gill_20hz"
"TIMESTAMP","RECORD","staA","staD","Ux_gill","Uy_gill","Uz_gill","temp_gill","AWS"
"TS","RN","none","none","m/s","m/s","m/s","Celsius",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-09-23 15:40:00.05",35597,6,1,5.79,0.36,-0.24,34.69,5.801181
"2025-09-23 15:40:00.1",35598,1,10,5.75,-0.09,-0.14,34.68,5.750704
"2025-09-23 15:40:00.15",35599,2,38,5.24,0.03,-0.55,34.66,5.240086
"2025-09-23 15:40:00.2",35600,3,0,5.42,-0.07,-0.29,34.69,5.420452
"2025-09-23 15:40:00.25",35601,4,0,5.88,0.05,0.09,34.67,5.880213
"2025-09-23 15:40:00.3",35602,5,0,5.79,0,0.01,34.67,5.79
"2025-09-23 15:40:00.35",35603,6,1,5.38,-0.12,0.13,34.67,5.381338
"2025-09-23 15:40:00.4",35604,1,10,5.21,0.2,0.1,34.66,5.213838
"2025-09-23 15:40:00.45",35605,2,38,5.57,-0.1,-0.03,34.65,5.570898
"2025-09-23 15:40:00.5",35606,3,0,5.88,0.06,0.04,34.66,5.880306
"2025-09-23 15:40:00.55",35607,4,0,5.69,0.57,-0.06,34.65,5.718479
"2025-09-23 15:40:00.6",35608,5,0,5.33,0.04,0.21,34.65,5.33015
"2025-09-23 15:40:00.65",35609,6,1,5.84,-0.15,0.13,34.65,5.841926
"2025-09-23 15:40:00.7",35610,1,10,5.69,0.38,0.11,34.68,5.702675
"2025-09-23 15:40:00.75",35611,2,38,5.66,0.13,-0.08,34.67,5.661492
"2025-09-23 15:40:00.8",35612,3,0,5.98,-0.01,0.07,34.65,5.980008
"2025-09-23 15:40:00.85",35613,4,0,5.78,-0.24,0.18,34.66,5.78498
"2025-09-23 15:40:00.9",35614,5,0,5.69,-0.12,0.3,34.67,5.691266
"2025-09-23 15:40:00.95",35615,6,1,5.73,0.24,0.12,34.67,5.735024
"2025-09-23 15:40:01",35616,1,10,5.2,0.5,-0.17,34.69,5.223983
"2025-09-23 15:40:01.05",35617,2,38,5.24,0.01,-0.28,34.66,5.240009
"2025-09-23 15:40:01.1",35618,3,0,5.24,-0.11,0.08,34.66,5.241154
"2025-09-23 15:40:01.15",35619,4,0,5.52,0.42,0.13,34.67,5.535955
"2025-09-23 15:40:01.2",35620,5,0,5.73,0.57,-0.13,34.7,5.758281
"2025-09-23 15:40:01.25",35621,6,1,5.75,0.42,-0.24,34.65,5.765319
"2025-09-23 15:40:01.3",35622,1,10,5.4,0.13,-0.01,34.7,5.401564
"2025-09-23 15:40:01.35",35623,2,38,5.52,0.44,0.04,34.67,5.537508
"2025-09-23 15:40:01.4",35624,3,0,5.52,0.52,-0.31,34.64,5.544438
"2025-09-23 15:40:01.45",35625,4,0,5.41,-0.47,-0.48,34.65,5.430378
"2025-09-23 15:40:01.5",35626,5,0,5.61,-0.25,-0.23,34.67,5.615568
"2025-09-23 15:40:01.55",35627,6,1,5.74,0.11,0.31,34.65,5.741054
"2025-09-23 15:40:01.6",35628,1,10,5.76,-0.14,-0.01,34.67,5.761701
"2025-09-23 15:40:01.65",35629,2,38,5.38,0.05,-0.32,34.66,5.380232
"2025-09-23 15:40:01.7",35630,3,0,5.44,-0.13,-0.3,34.67,5.441553
"2025-09-23 15:40:01.75",35631,4,0,5.56,0.13,0.06,34.65,5.56152
"2025-09-23 15:40:01.8",35632,5,0,6.11,-0.14,-0.23,34.66,6.111604
"2025-09-23 15:40:01.85",35633,6,1,5.74,0.14,0.03,34.67,5.741707
"2025-09-23 15:40:01.9",35634,1,10,6.17,-0.17,0.13,34.67,6.172342
"2025-09-23 15:40:01.95",35635,2,38,6.11,0.02,0.33,34.64,6.110032
"2025-09-23 15:40:02",35636,3,0,5.9,0.23,0.38,34.66,5.904482
"2025-09-23 15:40:02.05",35637,4,0,5.78,-0.12,0.15,34.67,5.781246
"2025-09-23 15:40:02.1",35638,5,0,5.54,-0.21,0.35,34.67,5.543979
"2025-09-23 15:40:02.15",35639,6,1,5.59,0.08,0.21,34.68,5.590572
"2025-09-23 15:40:02.2",35640,1,10,5.85,0.23,0.25,34.66,5.854519
"2025-09-23 15:40:02.25",35641,2,38,5.49,-0.07,0.36,34.67,5.490446
"2025-09-23 15:40:02.3",35642,3,0,5.57,0.42,0.01,34.65,5.585812
"2025-09-23 15:40:02.35",35643,4,0,5.21,0.06,-0.33,34.65,5.210345
"2025-09-23 15:40:02.4",35644,5,0,5.71,0.07,-0.04,34.67,5.710429
"2025-09-23 15:40:02.45",35645,6,1,5.84,0.23,-0.16,34.67,5.844527
"2025-09-23 15:40:02.5",35646,1,10,5.64,0.17,-0.51,34.69,5.642562
"2025-09-23 15:40:02.55",35647,2,38,5.75,-0.16,0.08,34.67,5.752226
"2025-09-23 15:40:02.6",35648,3,0,5.85,-0.2,0.19,34.66,5.853418
"2025-09-23 15:40:02.65",35649,4,0,5.97,-0.46,0.1,34.65,5.987696
"2025-09-23 15:40:02.7",35650,5,0,5.87,-0.28,0.18,34.66,5.876674
"2025-09-23 15:40:02.75",35651,6,1,6.03,-0.17,0.02,34.66,6.032396
"2025-09-23 15:40:02.8",35652,1,10,5.71,-0.1,-0.12,34.68,5.710876
"2025-09-23 15:40:02.85",35653,2,38,5.74,-0.1,0.16,34.69,5.74087
"2025-09-23 15:40:02.9",35654,3,0,5.72,-0.13,0.05,34.67,5.721477
"2025-09-23 15:40:02.95",35655,4,0,5.34,0.23,-0.2,34.67,5.344951
"2025-09-23 15:40:03",35656,5,0,5.73,-0.15,0,34.67,5.731963
"2025-09-23 15:40:03.05",35657,6,1,5.67,0.26,-0.08,34.68,5.675958
"2025-09-23 15:40:03.1",35658,1,10,5.52,-0.12,0.02,34.7,5.521304
"2025-09-23 15:40:03.15",35659,2,38,6.19,0.21,0.27,34.68,6.193562
"2025-09-23 15:40:03.2",35660,3,0,5.94,0.39,-0.01,34.68,5.952789
"2025-09-23 15:40:03.25",35661,4,0,5.75,0.03,0.09,34.67,5.750078
"2025-09-23 15:40:03.3",35662,5,0,5.32,0.02,-0.16,34.64,5.320038
"2025-09-23 15:40:03.35",35663,6,1,5.51,0.21,0.02,34.67,5.514
"2025-09-23 15:40:03.4",35664,1,10,5.86,0.04,-0.28,34.66,5.860136
"2025-09-23 15:40:03.45",35665,2,38,5.65,-0.11,-0.31,34.66,5.65107
"2025-09-23 15:40:03.5",35666,3,0,5.7,-0.21,0.14,34.64,5.703867
"2025-09-23 15:40:03.55",35667,4,0,5.63,0.25,0.05,34.65,5.635548
"2025-09-23 15:40:03.6",35668,5,0,5.81,0.14,0.01,34.66,5.811686
"2025-09-23 15:40:03.65",35669,6,1,5.77,0.19,0,34.67,5.773127
"2025-09-23 15:40:03.7",35670,1,10,5.81,0.05,0.08,34.66,5.810215
"2025-09-23 15:40:03.75",35671,2,38,5.68,-0.12,0.04,34.67,5.681267
"2025-09-23 15:40:03.8",35672,3,0,5.58,-0.08,0.12,34.64,5.580573
"2025-09-23 15:40:03.85",35673,4,0,5.7,0.05,0.11,34.65,5.700219
"2025-09-23 15:40:03.9",35674,5,0,5.43,0.14,-0.16,34.67,5.431804
"2025-09-23 15:40:03.95",35675,6,1,5.63,-0.12,0.03,34.64,5.631279
"2025-09-23 15:40:04",35676,1,10,5.94,0.11,0.28,34.64,5.941018
"2025-09-23 15:40:04.05",35677,2,38,5.79,0.12,0.05,34.69,5.791244
"2025-09-23 15:40:04.1",35678,3,0,5.74,-0.12,0.06,34.64,5.741254
"2025-09-23 15:40:04.15",35679,4,0,5.82,-0.29,-0.04,34.67,5.827221
"2025-09-23 15:40:04.2",35680,5,0,5.81,-0.49,-0.1,34.66,5.830626
"2025-09-23 15:40:04.25",35681,6,1,5.56,0.16,0.03,34.69,5.562302
"2025-09-23 15:40:04.3",35682,1,10,5.66,-0.14,0.09,34.69,5.661731
"2025-09-23 15:40:04.35",35683,2,38,5.69,-0.26,0.11,34.67,5.695937
"2025-09-23 15:40:04.4",35684,3,0,5.35,0.2,-0.01,34.68,5.353737
"2025-09-23 15:40:04.45",35685,4,0,5.52,-0.15,-0.18,34.67,5.522038
"2025-09-23 15:40:04.5",35686,5,0,5.98,-0.21,0.29,34.66,5.983686
"2025-09-23 15:40:04.55",35687,6,1,5.51,0.1,-0.24,34.68,5.510908
"2025-09-23 15:40:04.6",35688,1,10,5.69,0.52,-0.16,34.67,5.713712
"2025-09-23 15:40:04.65",35689,2,38,5.85,0.11,0.06,34.67,5.851034
"2025-09-23 15:40:04.7",35690,3,0,5.67,-0.19,0.01,34.68,5.673182
"2025-09-23 15:40:04.75",35691,4,0,5.5,0.19,0.02,34.65,5.503281
"2025-09-23 15:40:04.8",35692,5,0,5.26,0.2,0.2,34.65,5.263801
"2025-09-23 15:40:04.85",35693,6,1,5.62,0.42,0.05,34.65,5.635672
"2025-09-23 15:40:04.9",35694,1,10,5.5,0.46,-0.08,34.66,5.519203
"2025-09-23 15:40:04.95",35695,2,38,5.25,-0.25,-0.39,34.67,5.255949
"2025-09-23 15:40:05",35696,3,0,4.71,-0.58,-0.79,34.65,4.745577
"2025-09-23 15:40:05.05",35697,4,0,4.08,0.18,-0.63,34.63,4.083969
"2025-09-23 15:40:05.1",35698,5,0,4.46,-0.1,-0.32,34.66,4.461121
"2025-09-23 15:40:05.15",35699,6,1,5.08,-0.12,-0.24,34.66,5.081417
"2025-09-23 15:40:05.2",35700,1,10,5.38,0.36,-0.08,34.66,5.392031
"2025-09-23 15:40:05.25",35701,2,38,5.71,-0.12,-0.64,34.66,5.711261
"2025-09-23 15:40:05.3",35702,3,0,5.43,-0.2,-0.34,34.64,5.433682
"2025-09-23 15:40:05.35",35703,4,0,5.41,0.01,0.11,34.65,5.410009
"2025-09-23 15:40:05.4",35704,5,0,5.23,0.14,0.29,34.66,5.231874
"2025-09-23 15:40:05.45",35705,6,1,5.83,-0.19,0.1,34.65,5.833095
"2025-09-23 15:40:05.5",35706,1,10,5.99,-0.17,0.25,34.66,5.992412
"2025-09-23 15:40:05.55",35707,2,38,5.68,-0.39,0.08,34.66,5.693373
"2025-09-23 15:40:05.6",35708,3,0,5.19,-0.47,-0.17,34.66,5.211238
"2025-09-23 15:40:05.65",35709,4,0,4.74,0.38,-0.29,34.66,4.755208
"2025-09-23 15:40:05.7",35710,5,0,4.69,0.08,-0.61,34.67,4.690682
"2025-09-23 15:40:05.75",35711,6,1,4.54,-0.17,-0.7,34.65,4.543182
"2025-09-23 15:40:05.8",35712,1,10,4.98,0,-0.15,34.67,4.98
"2025-09-23 15:40:05.85",35713,2,38,5.19,0.2,-0.2,34.66,5.193852
"2025-09-23 15:40:05.9",35714,3,0,5.46,-0.09,-0.11,34.69,5.460742
"2025-09-23 15:40:05.95",35715,4,0,5.76,-0.18,-0.14,34.67,5.762812
"2025-09-23 15:40:06",35716,5,0,5.38,0.45,-0.1,34.68,5.398787
"2025-09-23 15:40:06.05",35717,6,1,5.85,-0.1,0.18,34.65,5.850854
"2025-09-23 15:40:06.1",35718,1,10,6.19,-0.17,0.05,34.68,6.192334
"2025-09-23 15:40:06.15",35719,2,38,5.99,-0.46,0.2,34.64,6.007636
"2025-09-23 15:40:06.2",35720,3,0,6.17,0.15,0.23,34.66,6.171823
"2025-09-23 15:40:06.25",35721,4,0,5.78,0.14,0.22,34.65,5.781695
"2025-09-23 15:40:06.3",35722,5,0,6.27,-0.3,-0.12,34.7,6.277173
"2025-09-23 15:40:06.35",35723,6,1,5.8,-0.49,-0.17,34.65,5.820662
"2025-09-23 15:40:06.4",35724,1,10,5.84,-0.15,-0.07,34.66,5.841926
"2025-09-23 15:40:06.45",35725,2,38,5.21,0.65,-0.05,34.67,5.25039
"2025-09-23 15:40:06.5",35726,3,0,5.24,0.4,-0.42,34.64,5.255245
"2025-09-23 15:40:06.55",35727,4,0,5.85,-0.29,0.01,34.66,5.857184
"2025-09-23 15:40:06.6",35728,5,0,5.16,0.1,-0.56,34.65,5.160969
"2025-09-23 15:40:06.65",35729,6,1,5.11,0.03,-0.29,34.66,5.110088
"2025-09-23 15:40:06.7",35730,1,10,5.26,0.28,-0.2,34.65,5.267448
"2025-09-23 15:40:06.75",35731,2,38,4.96,-0.15,-0.29,34.63,4.962267
"2025-09-23 15:40:06.8",35732,3,0,4.66,0.17,-0.26,34.65,4.6631
"2025-09-23 15:40:06.85",35733,4,0,5.03,0.48,-0.5,34.67,5.052851
"2025-09-23 15:40:06.9",35734,5,0,4.94,-0.59,-0.06,34.64,4.975108
"2025-09-23 15:40:06.95",35735,6,1,5.48,-0.85,-0.04,34.68,5.54553
"2025-09-23 15:40:07",35736,1,10,5.88,-0.26,-0.3,34.66,5.885746
"2025-09-23 15:40:07.05",35737,2,38,5.59,0.2,0.29,34.63,5.593577
"2025-09-23 15:40:07.1",35738,3,0,5.64,-0.1,0.15,34.69,5.640886
"2025-09-23 15:40:07.15",35739,4,0,5.46,0.2,-0.18,34.65,5.463662
"2025-09-23 15:40:07.2",35740,5,0,5.33,-0.12,0.01,34.66,5.331351
"2025-09-23 15:40:07.25",35741,6,1,5.27,-0.12,0.14,34.64,5.271366
"2025-09-23 15:40:07.3",35742,1,10,5.97,-0.1,0.31,34.65,5.970837
"2025-09-23 15:40:07.35",35743,2,38,5.73,-0.25,-0.01,34.67,5.735451
"2025-09-23 15:40:07.4",35744,3,0,5.24,-0.12,-0.73,34.65,5.241374
"2025-09-23 15:40:07.45",35745,4,0,5.09,-0.09,-0.58,34.67,5.090796
"2025-09-23 15:40:07.5",35746,5,0,5.04,-0.44,-0.38,34.65,5.05917
"2025-09-23 15:40:07.55",35747,6,1,5.11,0.44,-0.11,34.65,5.128908
"2025-09-23 15:40:07.6",35748,1,10,5.36,0.11,-0.01,34.66,5.361129
"2025-09-23 15:40:07.65",35749,2,38,5.43,0.34,-0.3,34.68,5.440634
