"TOA5","CR6","CR6","3702","CR6.14.4.0","CPU:Gill_R3-50.CR6","258","gill_20hz"
"TIMESTAMP","RECORD","staA","staD","Ux_gill","Uy_gill","Uz_gill","temp_gill","AWS"
"TS","RN","none","none","m/s","m/s","m/s","Celsius",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-09-23 16:40:46.95",108535,4,0,5.77,-0.22,0,34.68,5.774193
"2025-09-23 16:40:47",108536,5,0,5.38,0.19,-0.04,34.69,5.383354
"2025-09-23 16:40:47.05",108537,6,1,5.53,0.53,-0.18,34.69,5.55534
"2025-09-23 16:40:47.1",108538,1,10,5.49,0.2,0.25,34.68,5.493641
"2025-09-23 16:40:47.15",108539,2,38,4.9,-0.2,0,34.7,4.90408
"2025-09-23 16:40:47.2",108540,3,0,4.65,0.15,-0.48,34.69,4.652419
"2025-09-23 16:40:47.25",108541,4,0,4.67,0.19,-0.52,34.66,4.673863
"2025-09-23 16:40:47.3",108542,5,0,5.19,-0.36,-0.25,34.67,5.202471
"2025-09-23 16:40:47.35",108543,6,1,5.54,-0.14,-0.09,34.7,5.541769
"2025-09-23 16:40:47.4",108544,1,10,5.31,0.16,0.07,34.69,5.31241
"2025-09-23 16:40:47.45",108545,2,38,5.41,0.14,-0.04,34.7,5.411811
"2025-09-23 16:40:47.5",108546,3,0,5.36,0.24,-0.16,34.71,5.365371
"2025-09-23 16:40:47.55",108547,4,0,5.69,0.1,-0.13,34.68,5.690879
"2025-09-23 16:40:47.6",108548,5,0,5.47,0.19,0.09,34.74,5.473299
"2025-09-23 16:40:47.65",108549,6,1,5.96,-0.31,0.25,34.7,5.968057
"2025-09-23 16:40:47.7",108550,1,10,5.53,0.13,-0.03,34.7,5.531528
"2025-09-23 16:40:47.75",108551,2,38,5.56,0.1,-0.01,34.71,5.560899
"2025-09-23 16:40:47.8",108552,3,0,6.14,-0.3,-0.27,34.69,6.147325
"2025-09-23 16:40:47.85",108553,4,0,5.74,-0.12,0.04,34.69,5.741254
"2025-09-23 16:40:47.9",108554,5,0,5.97,-0.3,0.38,34.69,5.977532
"2025-09-23 16:40:47.95",108555,6,1,5.41,0.15,0.17,34.69,5.412079
"2025-09-23 16:40:48",108556,1,10,5.65,0.16,-0.25,34.71,5.652265
"2025-09-23 16:40:48.05",108557,2,38,5.71,-0.16,0.15,34.69,5.712241
"2025-09-23 16:40:48.1",108558,3,0,5.66,0.08,-0.57,34.7,5.660565
"2025-09-23 16:40:48.15",108559,4,0,5.5,0.27,-0.12,34.69,5.506623
"2025-09-23 16:40:48.2",108560,5,0,5.46,0.42,-0.11,34.7,5.47613
"2025-09-23 16:40:48.25",108561,6,1,5.17,-0.26,0.09,34.67,5.176534
"2025-09-23 16:40:48.3",108562,1,10,4.62,0.08,-0.36,34.67,4.620692
"2025-09-23 16:40:48.35",108563,2,38,5.24,0.33,-0.12,34.67,5.250381
"2025-09-23 16:40:48.4",108564,3,0,5.49,0.06,0.09,34.68,5.490327
"2025-09-23 16:40:48.45",108565,4,0,5.58,0.12,-0.05,34.7,5.58129
"2025-09-23 16:40:48.5",108566,5,0,5.35,0.21,0.02,34.7,5.35412
"2025-09-23 16:40:48.55",108567,6,1,5.76,0.26,-0.07,34.68,5.765865
"2025-09-23 16:40:48.6",108568,1,10,5.46,0.38,-0.2,34.69,5.473207
"2025-09-23 16:40:48.65",108569,2,38,5.68,-0.13,-0.08,34.68,5.681487
"2025-09-23 16:40:48.7",108570,3,0,5.72,-0.1,0.1,34.69,5.720874
"2025-09-23 16:40:48.75",108571,4,0,6.45,-0.2,0.3,34.7,6.4531
"2025-09-23 16:40:48.8",108572,5,0,6.03,-0.18,0.26,34.71,6.032686
"2025-09-23 16:40:48.85",108573,6,1,5.67,-0.13,0.09,34.7,5.67149
"2025-09-23 16:40:48.9",108574,1,10,5.39,0.05,-0.28,34.71,5.390232
"2025-09-23 16:40:48.95",108575,2,38,5.11,0.22,0.53,34.69,5.114734
"2025-09-23 16:40:49",108576,3,0,4.93,0.47,0.01,34.7,4.952353
"2025-09-23 16:40:49.05",108577,4,0,4.91,0.42,-0.18,34.68,4.92793
"2025-09-23 16:40:49.1",108578,5,0,5.13,0.55,-0.22,34.68,5.159399
"2025-09-23 16:40:49.15",108579,6,1,5.17,0.21,-0.51,34.68,5.174263
"2025-09-23 16:40:49.2",108580,1,10,5.05,0.18,-0.08,34.67,5.053207
"2025-09-23 16:40:49.25",108581,2,38,5.6,0.12,-0.37,34.71,5.601285
"2025-09-23 16:40:49.3",108582,3,0,5.58,-0.24,-0.16,34.67,5.585159
"2025-09-23 16:40:49.35",108583,4,0,5.44,0.09,0.18,34.72,5.440744
"2025-09-23 16:40:49.4",108584,5,0,5.82,0,-0.04,34.69,5.82
"2025-09-23 16:40:49.45",108585,6,1,5.97,0.2,0.11,34.7,5.973349
"2025-09-23 16:40:49.5",108586,1,10,5.49,0.42,-0.19,34.68,5.506042
"2025-09-23 16:40:49.55",108587,2,38,5.09,-0.1,-0.04,34.7,5.090982
"2025-09-23 16:40:49.6",108588,3,0,5.52,0.36,-0.24,34.69,5.531727
"2025-09-23 16:40:49.65",108589,4,0,5.34,0.19,0.07,34.69,5.343379
"2025-09-23 16:40:49.7",108590,5,0,5.21,0.18,0.3,34.68,5.213109
"2025-09-23 16:40:49.75",108591,6,1,5.79,0.08,0.06,34.73,5.790553
"2025-09-23 16:40:49.8",108592,1,10,6.06,-0.28,-0.07,34.7,6.066465
"2025-09-23 16:40:49.85",108593,2,38,5.82,-0.15,0.15,34.72,5.821933
"2025-09-23 16:40:49.9",108594,3,0,5.52,0.21,0.27,34.68,5.523993
"2025-09-23 16:40:49.95",108595,4,0,5.92,0.22,0,34.7,5.924087
"2025-09-23 16:40:50",108596,5,0,5.74,0.33,-0.38,34.67,5.749478
"2025-09-23 16:40:50.05",108597,6,1,5.64,0.12,-0.47,34.7,5.641276
"2025-09-23 16:40:50.1",108598,1,10,4.95,0.14,-0.88,34.68,4.951979
"2025-09-23 16:40:50.15",108599,2,38,5.62,0.19,-0.11,34.69,5.623211
"2025-09-23 16:40:50.2",108600,3,0,5.86,-0.08,0.2,34.7,5.860547
"2025-09-23 16:40:50.25",108601,4,0,5.93,0.38,0.12,34.69,5.942163
"2025-09-23 16:40:50.3",108602,5,0,5.84,-0.25,0.42,34.7,5.845349
"2025-09-23 16:40:50.35",108603,6,1,5.52,-0.13,0.18,34.71,5.521531
"2025-09-23 16:40:50.4",108604,1,10,4.98,0.48,-0.61,34.68,5.003079
"2025-09-23 16:40:50.45",108605,2,38,5.7,0.17,-0.32,34.69,5.702534
"2025-09-23 16:40:50.5",108606,3,0,5.49,0.43,-0.2,34.68,5.506814
"2025-09-23 16:40:50.55",108607,4,0,5.29,0.18,-0.16,34.68,5.293062
"2025-09-23 16:40:50.6",108608,5,0,5.74,0.1,0.22,34.69,5.74087
"2025-09-23 16:40:50.65",108609,6,1,5.89,-0.27,0.15,34.68,5.896185
"2025-09-23 16:40:50.7",108610,1,10,5.66,0.34,-0.07,34.71,5.670203
"2025-09-23 16:40:50.75",108611,2,38,5.43,-0.07,-0.05,34.69,5.430451
"2025-09-23 16:40:50.8",108612,3,0,5.92,0.17,0.15,34.7,5.922441
"2025-09-23 16:40:50.85",108613,4,0,5.59,-0.12,0.2,34.66,5.591288
"2025-09-23 16:40:50.9",108614,5,0,5.13,0.36,0.24,34.71,5.142616
"2025-09-23 16:40:50.95",108615,6,1,4.93,0.64,-0.84,34.67,4.971368
"2025-09-23 16:40:51",108616,1,10,5.01,0.54,-0.36,34.66,5.039018
"2025-09-23 16:40:51.05",108617,2,38,4.98,0.11,-0.56,34.69,4.981215
"2025-09-23 16:40:51.1",108618,3,0,5.76,0.1,-0.12,34.69,5.760868
"2025-09-23 16:40:51.15",108619,4,0,5.87,-0.13,-0.01,34.69,5.871439
"2025-09-23 16:40:51.2",108620,5,0,6.03,-0.44,0.17,34.69,6.046032
"2025-09-23 16:40:51.25",108621,6,1,6.17,-0.28,-0.05,34.69,6.17635
"2025-09-23 16:40:51.3",108622,1,10,5.89,0.2,0.16,34.68,5.893394
"2025-09-23 16:40:51.35",108623,2,38,5.63,0.2,-0.07,34.68,5.633552
"2025-09-23 16:40:51.4",108624,3,0,5.95,-0.14,0.12,34.67,5.951646
"2025-09-23 16:40:51.45",108625,4,0,5.93,-0.24,0.31,34.72,5.934855
"2025-09-23 16:40:51.5",108626,5,0,5.44,0.09,0.17,34.69,5.440744
"2025-09-23 16:40:51.55",108627,6,1,5.73,-0.15,0.3,34.68,5.731963
"2025-09-23 16:40:51.6",108628,1,10,5.6,0.25,0.36,34.7,5.605577
"2025-09-23 16:40:51.65",108629,2,38,5.63,0.68,0.11,34.68,5.670917
"2025-09-23 16:40:51.7",108630,3,0,5.03,0.13,-0.51,34.67,5.03168
"2025-09-23 16:40:51.75",108631,4,0,5.03,-0.25,-0.63,34.69,5.036209
"2025-09-23 16:40:51.8",108632,5,0,5.07,0.38,-0.33,34.67,5.084221
"2025-09-23 16:40:51.85",108633,6,1,5.38,0,-0.16,34.69,5.38
"2025-09-23 16:40:51.9",108634,1,10,6,-0.2,-0.05,34.7,6.003333
"2025-09-23 16:40:51.95",108635,2,38,6.29,-0.13,0.45,34.71,6.291343
"2025-09-23 16:40:52",108636,3,0,6.04,0.01,0.33,34.7,6.040008
"2025-09-23 16:40:52.05",108637,4,0,6,0.37,0.06,34.7,6.011398
"2025-09-23 16:40:52.1",108638,5,0,5.66,0.55,0,34.67,5.68666
"2025-09-23 16:40:52.15",108639,6,1,5.86,0.11,-0.07,34.71,5.861032
"2025-09-23 16:40:52.2",108640,1,10,5.82,0.36,0.11,34.7,5.831124
"2025-09-23 16:40:52.25",108641,2,38,5.87,-0.13,0.25,34.71,5.871439
"2025-09-23 16:40:52.3",108642,3,0,5.78,0.11,0.1,34.66,5.781047
"2025-09-23 16:40:52.35",108643,4,0,5.85,0.18,-0.05,34.69,5.852768
"2025-09-23 16:40:52.4",108644,5,0,5.78,0.39,0.12,34.69,5.793143
"2025-09-23 16:40:52.45",108645,6,1,5.5,-0.19,0.09,34.68,5.503281
"2025-09-23 16:40:52.5",108646,1,10,5.58,-0.14,0.1,34.69,5.581756
"2025-09-23 16:40:52.55",108647,2,38,5.85,-0.25,0.04,34.69,5.85534
"2025-09-23 16:40:52.6",108648,3,0,5.53,0.18,0.14,34.7,5.532929
"2025-09-23 16:40:52.65",108649,4,0,5.67,0.53,0.23,34.68,5.694716
"2025-09-23 16:40:52.7",108650,5,0,5.64,0.12,-0.26,34.68,5.641276
"2025-09-23 16:40:52.75",108651,6,1,5.66,-0.17,0.1,34.68,5.662552
"2025-09-23 16:40:52.8",108652,1,10,5.22,0.36,0.01,34.68,5.232399
"2025-09-23 16:40:52.85",108653,2,38,5.23,0.09,-0.47,34.69,5.230774
"2025-09-23 16:40:52.9",108654,3,0,5.65,0.1,-0.47,34.65,5.650885
"2025-09-23 16:40:52.95",108655,4,0,5.46,-0.09,0.03,34.68,5.460742
"2025-09-23 16:40:53",108656,5,0,5.64,0.05,-0.05,34.67,5.640222
"2025-09-23 16:40:53.05",108657,6,1,5.44,0.22,0.1,34.7,5.444447
"2025-09-23 16:40:53.1",108658,1,10,5.65,0.01,0.08,34.69,5.650009
"2025-09-23 16:40:53.15",108659,2,38,5.45,0.03,-0.07,34.69,5.450082
"2025-09-23 16:40:53.2",108660,3,0,5.69,-0.2,0.57,34.66,5.693514
"2025-09-23 16:40:53.25",108661,4,0,6.26,-0.33,0.31,34.69,6.268692
"2025-09-23 16:40:53.3",108662,5,0,5.31,0.05,-0.45,34.66,5.310236
"2025-09-23 16:40:53.35",108663,6,1,4.82,-0.1,-0.02,34.69,4.821037
"2025-09-23 16:40:53.4",108664,1,10,5.05,0.56,-0.32,34.66,5.080955
"2025-09-23 16:40:53.45",108665,2,38,5.16,0.18,0.02,34.7,5.163138
"2025-09-23 16:40:53.5",108666,3,0,5.22,0.15,0.1,34.7,5.222155
"2025-09-23 16:40:53.55",108667,4,0,4.82,0.16,-0.62,34.68,4.822655
"2025-09-23 16:40:53.6",108668,5,0,4.44,0.19,-0.76,34.68,4.444064
"2025-09-23 16:40:53.65",108669,6,1,4.49,-0.1,-0.08,34.69,4.491113
"2025-09-23 16:40:53.7",108670,1,10,4.25,-0.17,-0.56,34.7,4.253399
"2025-09-23 16:40:53.75",108671,2,38,4.15,-0.11,-0.84,34.67,4.151458
"2025-09-23 16:40:53.8",108672,3,0,4.81,-0.57,-0.03,34.67,4.843656
"2025-09-23 16:40:53.85",108673,4,0,5.23,0.5,-0.27,34.68,5.253846
"2025-09-23 16:40:53.9",108674,5,0,5.67,0.13,-0.52,34.68,5.67149
"2025-09-23 16:40:53.95",108675,6,1,5.38,0.32,-0.35,34.69,5.389508
"2025-09-23 16:40:54",108676,1,10,5.6,0.26,0.03,34.66,5.606032
"2025-09-23 16:40:54.05",108677,2,38,6.18,-0.27,0.13,34.68,6.185895
"2025-09-23 16:40:54.1",108678,3,0,5.97,-0.47,0.22,34.67,5.988472
"2025-09-23 16:40:54.15",108679,4,0,5.8,-0.01,0.12,34.7,5.800009
"2025-09-23 16:40:54.2",108680,5,0,5.83,0.03,0.08,34.69,5.830077
"2025-09-23 16:40:54.25",108681,6,1,6.15,-0.18,0.29,34.69,6.152634
"2025-09-23 16:40:54.3",108682,1,10,6.22,-0.3,0.7,34.69,6.22723
"2025-09-23 16:40:54.35",108683,2,38,5.95,-0.91,0.16,34.69,6.019186
"2025-09-23 16:40:54.4",108684,3,0,5.18,0.16,-0.25,34.66,5.18247
"2025-09-23 16:40:54.45",108685,4,0,5.2,0.63,-0.28,34.7,5.238024
"2025-09-23 16:40:54.5",108686,5,0,5.09,0.11,-0.02,34.69,5.091189
"2025-09-23 16:40:54.55",108687,6,1,5.65,0.12,-0.58,34.68,5.651274
"2025-09-23 16:40:54.6",108688,1,10,5.57,0.41,-0.22,34.69,5.58507
"2025-09-23 16:40:54.65",108689,2,38,5.68,-0.21,0.08,34.68,5.683881
"2025-09-23 16:40:54.7",108690,3,0,5.76,0.15,-0.1,34.69,5.761953
"2025-09-23 16:40:54.75",108691,4,0,5.73,-0.16,0.22,34.67,5.732234
"2025-09-23 16:40:54.8",108692,5,0,5.44,-0.15,0.12,34.69,5.442068
"2025-09-23 16:40:54.85",108693,6,1,5.56,0.42,-0.53,34.68,5.57584
"2025-09-23 16:40:54.9",108694,1,10,5.18,1.01,-0.13,34.65,5.277546
"2025-09-23 16:40:54.95",108695,2,38,4.77,0.13,0.19,34.68,4.771771
"2025-09-23 16:40:55",108696,3,0,4.88,-0.11,-0.14,34.68,4.88124
"2025-09-23 16:40:55.05",108697,4,0,5,0.19,-0.3,34.68,5.003609
"2025-09-23 16:40:55.1",108698,5,0,5.94,-0.3,0.25,34.68,5.947571
"2025-09-23 16:40:55.15",108699,6,1,5.62,-0.23,-0.1,34.69,5.624704
"2025-09-23 16:40:55.2",108700,1,10,5.23,0.6,-0.39,34.67,5.264304
"2025-09-23 16:40:55.25",108701,2,38,5,-0.11,-0.57,34.68,5.00121
"2025-09-23 16:40:55.3",108702,3,0,5.28,-0.11,-0.05,34.66,5.281146
"2025-09-23 16:40:55.35",108703,4,0,5.41,0.04,-0.37,34.69,5.410148
"2025-09-23 16:40:55.4",108704,5,0,5.94,-0.16,-0.31,34.7,5.942154
"2025-09-23 16:40:55.45",108705,6,1,5.9,-0.3,-0.21,34.69,5.907622
"2025-09-23 16:40:55.5",108706,1,10,5.6,-0.23,-0.16,34.68,5.604721
"2025-09-23 16:40:55.55",108707,2,38,5.49,-0.15,0.08,34.67,5.492048
"2025-09-23 16:40:55.6",108708,3,0,5.39,-0.11,-0.11,34.68,5.391122
"2025-09-23 16:40:55.65",108709,4,0,5.15,0.12,0.14,34.69,5.151398
"2025-09-23 16:40:55.7",108710,5,0,5.35,-0.44,0.12,34.71,5.368063
"2025-09-23 16:40:55.75",108711,6,1,5.3,0.61,-0.11,34.68,5.334989
"2025-09-23 16:40:55.8",108712,1,10,5.36,0.51,0.11,34.71,5.384208
"2025-09-23 16:40:55.85",108713,2,38,5.18,-0.07,0.39,34.68,5.180473
"2025-09-23 16:40:55.9",108714,3,0,4.85,-0.21,-0.01,34.7,4.854544
"2025-09-23 16:40:55.95",108715,4,0,4.37,-0.3,-0.41,34.69,4.380285
"2025-09-23 16:40:56",108716,5,0,4.42,0.18,-0.26,34.67,4.423664
"2025-09-23 16:40:56.05",108717,6,1,5.1,-0.37,-0.03,34.68,5.113404
"2025-09-23 16:40:56.1",108718,1,10,5.43,-0.09,0.02,34.68,5.430746
"2025-09-23 16:40:56.15",108719,2,38,5.75,1.01,-0.51,34.67,5.83803
"2025-09-23 16:40:56.2",108720,3,0,5.04,0.17,-0.59,34.67,5.042866
"2025-09-23 16:40:56.25",108721,4,0,4.77,-0.05,-0.37,34.68,4.770262
"2025-09-23 16:40:56.3",108722,5,0,4.81,-0.65,-0.69,34.69,4.85372
"2025-09-23 16:40:56.35",108723,6,1,5.29,0.18,-0.06,34.65,5.293062
"2025-09-23 16:40:56.4",108724,1,10,5.56,0.14,0.04,34.67,5.561762
"2025-09-23 16:40:56.45",108725,2,38,5.69,-0.02,-0.25,34.69,5.690035
"2025-09-23 16:40:56.5",108726,3,0,5.38,-0.12,-0.13,34.7,5.381338
"2025-09-23 16:40:56.55",108727,4,0,5.71,0.05,-0.05,34.68,5.710219
"2025-09-23 16:40:56.6",108728,5,0,5.38,0.16,-0.08,34.69,5.382379
"2025-09-23 16:40:56.65",108729,6,1,5.46,0.16,-0.03,34.69,5.462344
"2025-09-23 16:40:56.7",108730,1,10,5.77,-0.1,-0.13,34.69,5.770866
"2025-09-23 16:40:56.75",108731,2,38,5.67,-0.19,0.17,34.69,5.673182
"2025-09-23 16:40:56.8",108732,3,0,5.78,-0.22,0.32,34.69,5.784185
"2025-09-23 16:40:56.85",108733,4,0,5.43,0.16,-0.01,34.69,5.432356
"2025-09-23 16:40:56.9",108734,5,0,5.8,-0.13,-0.16,34.7,5.801457
"2025-09-23 16:40:56.95",108735,6,1,5.85,0.02,-0.09,34.68,5.850034
"2025-09-23 16:40:57",108736,1,10,5.59,0.25,-0.36,34.69,5.595588
"2025-09-23 16:40:57.05",108737,2,38,5.66,-0.1,-0.13,34.69,5.660883
"2025-09-23 16:40:57.1",108738,3,0,5.82,0.03,0,34.69,5.820077
"2025-09-23 16:40:57.15",108739,4,0,5.4,0.38,-0.24,34.7,5.413354
"2025-09-23 16:40:57.2",108740,5,0,5.49,0.2,-0.12,34.69,5.493641
"2025-09-23 16:40:57.25",108741,6,1,5.95,-0.15,-0.17,34.7,5.95189
"2025-09-23 16:40:57.3",108742,1,10,5.47,0.3,-0.08,34.69,5.47822
"2025-09-23 16:40:57.35",108743,2,38,5.19,0.21,0.28,34.7,5.194247
"2025-09-23 16:40:57.4",108744,3,0,5.43,0.09,0.21,34.68,5.430746
"2025-09-23 16:40:57.45",108745,4,0,5.91,-0.14,0.08,34.68,5.911658
"2025-09-23 16:40:57.5",108746,5,0,6.24,-0.36,-0.19,34.7,6.250376
"2025-09-23 16:40:57.55",108747,6,1,5.79,-0.41,0.28,34.66,5.804498
"2025-09-23 16:40:57.6",108748,1,10,5.71,0.24,0.15,34.69,5.715041
"2025-09-23 16:40:57.65",108749,2,38,5.73,-0.16,0.16,34.67,5.732234
"2025-09-23 16:40:57.7",108750,3,0,5.16,0.47,-0.08,34.66,5.181361
"2025-09-23 16:40:57.75",108751,4,0,5.39,0,-0.35,34.69,5.39
"2025-09-23 16:40:57.8",108752,5,0,5.04,0.11,-0.46,34.67,5.0412
"2025-09-23 16:40:57.85",108753,6,1,5.31,0.12,-0.19,34.68,5.311356
"2025-09-23 16:40:57.9",108754,1,10,5.5,-0.2,-0.11,34.68,5.503635
"2025-09-23 16:40:57.95",108755,2,38,5.09,0.19,0.16,34.68,5.093545
"2025-09-23 16:40:58",108756,3,0,5.17,0.52,-0.12,34.69,5.196085
"2025-09-23 16:40:58.05",108757,4,0,5.61,0.05,0.13,34.71,5.610223
"2025-09-23 16:40:58.1",108758,5,0,5.85,-0.11,0.32,34.69,5.851034
"2025-09-23 16:40:58.15",108759,6,1,5.83,-0.21,-0.41,34.71,5.833781
"2025-09-23 16:40:58.2",108760,1,10,5.4,0.21,-0.37,34.69,5.404082
"2025-09-23 16:40:58.25",108761,2,38,5.77,-0.1,0.02,34.68,5.770866
"2025-09-23 16:40:58.3",108762,3,0,5.85,0.02,0.4,34.69,5.850034
"2025-09-23 16:40:58.35",108763,4,0,5.52,-0.89,-0.12,34.7,5.591288
"2025-09-23 16:40:58.4",108764,5,0,5.33,-0.6,-0.41,34.68,5.363665
"2025-09-23 16:40:58.45",108765,6,1,5.36,0.51,0.56,34.71,5.384208
"2025-09-23 16:40:58.5",108766,1,10,5.32,-0.47,-0.48,34.69,5.340721
"2025-09-23 16:40:58.55",108767,2,38,5.29,-0.35,-0.61,34.67,5.301566
"2025-09-23 16:40:58.6",108768,3,0,5.73,-0.16,0.16,34.7,5.732234
"2025-09-23 16:40:58.65",108769,4,0,5.72,0,-0.05,34.7,5.72
"2025-09-23 16:40:58.7",108770,5,0,5.32,-0.38,0,34.71,5.333554
"2025-09-23 16:40:58.75",108771,6,1,5.17,-0.38,-0.3,34.68,5.183947
"2025-09-23 16:40:58.8",108772,1,10,5.37,0.21,-0.2,34.68,5.374104
"2025-09-23 16:40:58.85",108773,2,38,5.43,0.23,0.01,34.69,5.434869
"2025-09-23 16:40:58.9",108774,3,0,5.25,-0.11,0.15,34.68,5.251152
"2025-09-23 16:40:58.95",108775,4,0,5.54,0.21,-0.45,34.7,5.543979
"2025-09-23 16:40:59",108776,5,0,5.23,-0.07,-0.58,34.67,5.230468
"2025-09-23 16:40:59.05",108777,6,1,5.34,-0.12,0.01,34.69,5.341348
"2025-09-23 16:40:59.1",108778,1,10,5.23,0.01,0.23,34.66,5.23001
"2025-09-23 16:40:59.15",108779,2,38,5.18,-0.07,-0.26,34.66,5.180473
"2025-09-23 16:40:59.2",108780,3,0,4.66,0.49,-0.35,34.7,4.685691
"2025-09-23 16:40:59.25",108781,4,0,4.99,-0.21,-0.13,34.68,4.994417
"2025-09-23 16:40:59.3",108782,5,0,5.25,-0.11,0.1,34.72,5.251152
"2025-09-23 16:40:59.35",108783,6,1,5.55,-0.11,-0.25,34.7,5.55109
"2025-09-23 16:40:59.4",108784,1,10,5.5,-0.19,0.3,34.7,5.503281
"2025-09-23 16:40:59.45",108785,2,38,5.27,-0.49,0.44,34.69,5.292731
"2025-09-23 16:40:59.5",108786,3,0,5.7,-0.71,-0.18,34.67,5.744049
"2025-09-23 16:40:59.55",108787,4,0,5.75,-0.46,-0.29,34.67,5.768371
"2025-09-23 16:40:59.6",108788,5,0,5.68,-0.12,-0.14,34.69,5.681267
"2025-09-23 16:40:59.65",108789,6,1,5.65,0.04,-0.03,34.71,5.650142
"2025-09-23 16:40:59.7",108790,1,10,5.57,0.07,-0.12,34.67,5.57044
"2025-09-23 16:40:59.75",108791,2,38,5.53,0.22,0.14,34.68,5.534375
"2025-09-23 16:40:59.8",108792,3,0,5.78,0.27,0.23,34.69,5.786303
"2025-09-23 16:40:59.85",108793,4,0,5.68,0.21,0.29,34.69,5.683881
"2025-09-23 16:40:59.9",108794,5,0,5.7,0.05,0.1,34.7,5.700219
"2025-09-23 16:40:59.95",108795,6,1,5.4,-0.2,-0.11,34.7,5.403703
"2025-09-23 16:41:00",108796,1,10,5.45,-0.15,-0.13,34.69,5.452064
"2025-09-23 16:41:00.05",108797,2,38,5.46,-0.21,-0.16,34.69,5.464037
"2025-09-23 16:41:00.1",108798,3,0,5.82,0.35,-0.29,34.69,5.830515
"2025-09-23 16:41:00.15",108799,4,0,5.66,0.12,-0.15,34.7,5.661272
"2025-09-23 16:41:00.2",108800,5,0,5.78,0.39,0.05,34.69,5.793143
"2025-09-23 16:41:00.25",108801,6,1,5.72,-0.12,0.06,34.69,5.721259
"2025-09-23 16:41:00.3",108802,1,10,5.59,-0.24,-0.15,34.68,5.59515
"2025-09-23 16:41:00.35",108803,2,38,5.52,-0.17,0.27,34.68,5.522617
"2025-09-23 16:41:00.4",108804,3,0,5.25,-0.14,-0.03,34.71,5.251866
"2025-09-23 16:41:00.45",108805,4,0,5.18,-0.14,-0.32,34.68,5.181891
"2025-09-23 16:41:00.5",108806,5,0,5.18,0.22,-0.09,34.69,5.184669
"2025-09-23 16:41:00.55",108807,6,1,5.81,-0.27,-0.48,34.7,5.81627
"2025-09-23 16:41:00.6",108808,1,10,5.74,-0.17,-0.06,34.68,5.742517
"2025-09-23 16:41:00.65",108809,2,38,5.19,0.02,0.22,34.69,5.190039
"2025-09-23 16:41:00.7",108810,3,0,5.73,0.15,0.26,34.7,5.731963
"2025-09-23 16:41:00.75",108811,4,0,5.76,-0.11,0.07,34.7,5.76105
"2025-09-23 16:41:00.8",108812,5,0,5.96,-0.13,-0.43,34.69,5.961418
"2025-09-23 16:41:00.85",108813,6,1,5.98,-0.12,-0.14,34.68,5.981204
"2025-09-23 16:41:00.9",108814,1,10,5.78,-0.02,-0.18,34.67,5.780035
"2025-09-23 16:41:00.95",108815,2,38,5.59,0.18,0.17,34.66,5.592897
"2025-09-23 16:41:01",108816,3,0,5.76,-0.14,0.05,34.67,5.761701
"2025-09-23 16:41:01.05",108817,4,0,5.76,-0.17,0.05,34.67,5.762508
"2025-09-23 16:41:01.1",108818,5,0,5.92,0.21,0.19,34.7,5.923724
"2025-09-23 16:41:01.15",108819,6,1,5.8,0.35,0.13,34.7,5.810551
"2025-09-23 16:41:01.2",108820,1,10,5.38,-0.12,0.04,34.7,5.381338
"2025-09-23 16:41:01.25",108821,2,38,5.61,0.19,-0.24,34.69,5.613217
"2025-09-23 16:41:01.3",108822,3,0,5.84,-0.12,0.19,34.67,5.841233
"2025-09-23 16:41:01.35",108823,4,0,6.1,-0.57,0.23,34.7,6.126573
"2025-09-23 16:41:01.4",108824,5,0,5.58,-0.5,-0.16,34.7,5.602356
"2025-09-23 16:41:01.45",108825,6,1,5.57,0.39,0.24,34.69,5.583637
"2025-09-23 16:41:01.5",108826,1,10,5.43,-0.08,-0.14,34.69,5.430589
"2025-09-23 16:41:01.55",108827,2,38,5.69,-0.52,0.36,34.69,5.713712
"2025-09-23 16:41:01.6",108828,3,0,5.2,0.03,0.13,34.69,5.200086
"2025-09-23 16:41:01.65",108829,4,0,4.45,0.4,-0.67,34.68,4.467941
"2025-09-23 16:41:01.7",108830,5,0,4.56,0.49,-0.23,34.68,4.586251
"2025-09-23 16:41:01.75",108831,6,1,4.92,0.21,-0.48,34.68,4.924479
"2025-09-23 16:41:01.8",108832,1,10,4.99,0.12,0.16,34.68,4.991442
"2025-09-23 16:41:01.85",108833,2,38,5.54,0.04,0.11,34.7,5.540144
"2025-09-23 16:41:01.9",108834,3,0,5.24,0.28,-0.54,34.69,5.247475
"2025-09-23 16:41:01.95",108835,4,0,5.45,-0.25,-0.26,34.69,5.455731
"2025-09-23 16:41:02",108836,5,0,5.87,0.04,-0.27,34.71,5.870136
"2025-09-23 16:41:02.05",108837,6,1,5.67,0.13,-0.49,34.7,5.67149
"2025-09-23 16:41:02.1",108838,1,10,5.59,-0.11,-0.15,34.67,5.591083
"2025-09-23 16:41:02.15",108839,2,38,6.15,-0.12,-0.1,34.68,6.151171
"2025-09-23 16:41:02.2",108840,3,0,5.84,0.2,0.21,34.7,5.843424
"2025-09-23 16:41:02.25",108841,4,0,5.94,-0.14,0.22,34.69,5.941649
"2025-09-23 16:41:02.3",108842,5,0,5.97,-0.11,0.48,34.68,5.971013
